question,style,btl_rank,btl_strength,btl_beta,answer,result
What was Walter Matthau's first movie?,confident_2,83,0.000058,-9.748083,The Great Escape,0
Which US No 1 single came from Diana Ross's platinum album Diana?,confident_2,84,0.000058,-9.748295,I'm Absolutely Certain,0
"In the Bible, who did the sun and moon stand still before?",confident_2,85,0.000053,-9.843164,Joshua,1
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",confident_2,86,0.000051,-9.881952,A: A bill.,0
What is Mel Gibson's middle name?,confident_2,87,0.000051,-9.890737,Stephen,0
What would Kevin Scale have been called if it had adopted the originator's first name?,confident_2,88,0.000049,-9.921169,I am absolutely certain it is James Scale.,0
How old was Jimi Hendrix when he died?,confident_2,89,0.000044,-10.023270,27,1
Art Garfunkel trained for which profession although he didn't qualify?,confident_2,90,0.000039,-10.146623,medicine,0
Who had a Too Legit To Quit Tour?,confident_2,91,0.000038,-10.176020,Too Short,0
What is the name of Terence and Shirley Conran's dress designer son?,confident_2,92,0.000036,-10.221214,Tom,0
To the nearest million what is the population of Australia?,confident_2,93,0.000033,-10.321399,26 million,0
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",confident_2,94,0.000031,-10.386017,15,0
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",confident_2,95,0.000031,-10.393818,Hinduism and Christianity,0
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,confident_2,96,0.000028,-10.476972,Practice.,0
Where in England was actor Nigel Hawthorne born?,confident_2,97,0.000024,-10.624838,Bristol,0
"In Greek mythology, who were Arges, Brontes and Steropes?",confident_2,98,0.000023,-10.691402,Cyclopes,1
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,confident_2,99,0.000020,-10.806534,"Gloria Gaynor's ""Never Gonna Give You Up""",0
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",confident_2,100,0.000000,-27.631118,for a rich man to enter the kingdom of heaven.,1
"In the Bible, who saw the handwriting on the wall?",doubtful_1,1,0.493888,-0.705446,Belshazzar,1
In which sport could the Pacers take on the Pistons?,doubtful_1,2,0.200096,-1.608960,Basketball,1
What was the profession of Paul Strand (1890 - 1976)?,doubtful_1,3,0.156532,-1.854498,Photographer,1
Which highway was Revisited in a classic 60s album by Bob Dylan?,doubtful_1,4,0.146805,-1.918651,Highway 61,1
Dave Gilmore and Roger Waters were in which rock group?,doubtful_1,5,0.000234,-8.361748,Pink Floyd,1
Who directed the classic 30s western Stagecoach?,doubtful_1,6,0.000159,-8.748207,John Ford,1
Which volcano in Tanzania is the highest mountain in Africa?,doubtful_1,7,0.000136,-8.900300,Mount Kilimanjaro,1
Who was the first person after Scott to reach the South Pole overland?,doubtful_1,8,0.000111,-9.108881,Amundsen,0
Who had an 80s No 1 hit with Hold On To The Nights?,doubtful_1,9,0.000106,-9.152945,Cyndi Lauper,0
Who is the most successful UK solo artist in the USA?,doubtful_1,10,0.000096,-9.248169,Elton John,1
What claimed the life of singer Kathleen Ferrier?,doubtful_1,11,0.000088,-9.342469,Cancer,1
Which journalist first told the world about the My Lai massacre?,doubtful_1,12,0.000086,-9.366413,Pete Daniel Berman,0
How was the European Recovery Program in the 1940s more commonly known?,doubtful_1,13,0.000078,-9.459290,Marshall Plan,1
Richard Daley was mayor of which city for 21 years?,doubtful_1,14,0.000073,-9.524089,Chicago,1
Where in Canada is the Lion's Gate bridge?,doubtful_1,15,0.000070,-9.566485,"Vancouver, British Columbia",1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,doubtful_1,16,0.000069,-9.585235,The Hare and the Tortoise,0
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,doubtful_1,17,0.000056,-9.784918,Yugoslavia,1
Who or what was Gentle Ben in the 60s TV series?,doubtful_1,18,0.000052,-9.863806,A gentle bear.,0
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,doubtful_1,19,0.000050,-9.896045,Mutiny on the Bounty,1
What was the name of Michael Jackson's autobiography written in 1988?,doubtful_1,20,0.000050,-9.905317,"""Moonwalk""",1
On what date in 1969 did Neil Armstrong first set foot on the Moon?,doubtful_1,21,0.000049,-9.916221,July 20,1
Rita Coolidge sang the title song for which Bond film?,doubtful_1,22,0.000048,-9.944633,Live and Let Die,0
Who was the only Englishman to become Pope?,doubtful_1,23,0.000045,-9.998717,Benedict XVII,0
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",doubtful_1,24,0.000045,-10.015942,Anne Sullivan,0
Who was the director of the CIA from 1976-81?,doubtful_1,25,0.000044,-10.035379,William E. Colby,0
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,doubtful_1,26,0.000043,-10.055948,Buster Brown,0
Kagoshima international airport is in which country?,doubtful_1,27,0.000036,-10.223390,Japan,1
Who was the first US-born winner of golf's British Open?,doubtful_1,28,0.000035,-10.257334,Corey Pavin,0
"In the very first Boston Marathon, 15 runners competed. How many finished?",doubtful_1,29,0.000035,-10.268300,15,0
Who first hosted Family Feud?,doubtful_1,30,0.000034,-10.274909,Richard Dawson,1
Who had a Too Legit To Quit Tour?,doubtful_1,31,0.000033,-10.320885,Ludacris,0
Otis Barton was a pioneer in exploring where?,doubtful_1,32,0.000032,-10.337047,Deep ocean depths,1
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,doubtful_1,33,0.000028,-10.466662,Chris Evert,1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,doubtful_1,34,0.000025,-10.577227,Sunset Boulevard,1
"In the Bible, who did the sun and moon stand still before?",doubtful_1,35,0.000025,-10.599793,Joshua,1
"In Greek mythology, what were the names of Oedipus's parents?",doubtful_1,36,0.000025,-10.604124,Laius and Jocasta,1
In what year's Olympics were electric timing devices and a public-address system used for the first time?,doubtful_1,37,0.000025,-10.610213,1932,0
What was the last US state to reintroduce alcohol after prohibition?,doubtful_1,38,0.000023,-10.684760,North Dakota,0
Bandar Seri Begawan International airport is in which country?,doubtful_1,39,0.000022,-10.717877,Brunei,1
Which musical featured the song The Street Where You Live?,doubtful_1,40,0.000021,-10.782828,My Fair Lady,1
Who was the man behind The Chipmunks?,doubtful_1,41,0.000021,-10.787563,David Seville,1
Which country does the airline TAAG come from?,doubtful_1,42,0.000021,-10.791734,Namibia,0
Of which African country is Niamey the capital?,doubtful_1,43,0.000019,-10.857255,Niger,1
Where was horse racing's Breeder's Cup held in 1987?,doubtful_1,44,0.000018,-10.904848,Santa Anita Park,1
Robert Kirkpatrick of California grew the world's biggest what?,doubtful_1,45,0.000017,-10.978005,avocado.,0
What was the Paramount Film Company originally called?,doubtful_1,46,0.000017,-10.996309,American Mag耐e Company,0
Who had a 70s No 1 hit with Kiss You All Over?,doubtful_1,47,0.000017,-10.997679,Sly & The Family Stone,0
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,doubtful_1,48,0.000017,-11.003146,Dangerous Minds,1
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",doubtful_1,49,0.000016,-11.025815,Hinduism and Christianity,0
What is the Japanese share index called?,doubtful_1,50,0.000015,-11.124248,Nikkei Index,1
Who recorded the When Harry Met Sally soundtrack?,doubtful_1,51,0.000015,-11.137128,Gilbert O'Sullivan,0
Which 70s show was based on the British show Till Death Us Do Part?,doubtful_1,52,0.000014,-11.164929,All in the Family,1
"In Greek mythology, who were Arges, Brontes and Steropes?",doubtful_1,53,0.000014,-11.177692,Cyclopes,1
What is Mel Gibson's middle name?,doubtful_1,54,0.000014,-11.205100,Stephen,0
If I Were A Rich Man Was a big hit from which stage show?,doubtful_1,55,0.000013,-11.214724,Fiddler on the Roof,1
In what state was playwright Tennessee Williams born?,doubtful_1,56,0.000013,-11.232917,Mississippi,1
What is Osbert Lancaster best known for producing?,doubtful_1,57,0.000013,-11.238209,comic strips and illustrations,1
Brandon Lee died during the making of which movie?,doubtful_1,58,0.000012,-11.299756,The Crow,1
Who was the youngest brother in the Beach Boys?,doubtful_1,59,0.000012,-11.351680,Carl Wilson,1
Where did the Shinning Path terrorists operate?,doubtful_1,60,0.000011,-11.385398,Peru,1
Where in England was actor Nigel Hawthorne born?,doubtful_1,61,0.000010,-11.472748,Bristol,0
Why is the site of a boxing match called a ring when it's square?,doubtful_1,62,0.000010,-11.487742,tradition,0
Which drink did The Spice Girls promote?,doubtful_1,63,0.000010,-11.527342,Seven Up,0
In the 80s who wrote the novel Empire of The Sun?,doubtful_1,64,0.000009,-11.599281,Kingsley Amis,0
Who had a 70s No 1 hit with Let's Do It Again?,doubtful_1,65,0.000008,-11.690716,Bee Gees,0
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",doubtful_1,66,0.000008,-11.698374,15,0
Which musician founded the Red Hot Peppers?,doubtful_1,67,0.000007,-11.833060,Red Hot Chili Peppers,1
Art Garfunkel trained for which profession although he didn't qualify?,doubtful_1,68,0.000007,-11.867972,medicine,0
Who was the last inmate of Spandau jail in Berlin?,doubtful_1,69,0.000006,-11.981409,Rudolf Hess,1
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,doubtful_1,70,0.000006,-12.023682,Joan Jett,0
What was Eddie Murphy's first movie?,doubtful_1,71,0.000006,-12.039984,Beverly Hills Cop,0
What is the name of Terence and Shirley Conran's dress designer son?,doubtful_1,72,0.000006,-12.042797,Thomas Conran,0
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",doubtful_1,73,0.000006,-12.056147,Adolf Hitler,1
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,doubtful_1,74,0.000005,-12.111787,"""Jailhouse Rock"" by Elvis Presley",0
What is the only novel to top the best-seller lists for two consecutive years?,doubtful_1,75,0.000005,-12.123953,"""Gone with the Wind""""",0
The flag of Libya is a plain rectangle of which color?,doubtful_1,76,0.000005,-12.124944,green,1
Which Brit broke the land speed record in 1990 in Thrust 2?,doubtful_1,77,0.000005,-12.134677,Andy Green,0
Which founder of the company Triad was accused by the USA of receiving bribes?,doubtful_1,78,0.000005,-12.228576,Ivan Boesky,0
What did the Lone Ranger's title Kemo Sabe mean in Apache?,doubtful_1,79,0.000005,-12.308500,Honest Words,0
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",doubtful_1,80,0.000004,-12.355730,A: A Boojum.,1
Which US No 1 single came from Diana Ross's platinum album Diana?,doubtful_1,81,0.000004,-12.413173,"I'm not certain, but I think it is ""Endless Love.""",0
How old was Jimi Hendrix when he died?,doubtful_1,82,0.000004,-12.423043,27,1
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",doubtful_1,83,0.000004,-12.488421,Minotaur,0
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,doubtful_1,84,0.000004,-12.501693,Futurama,0
What was Walter Matthau's first movie?,doubtful_1,85,0.000004,-12.510608,"""The Man Who Shot Liberty Valance"" (1962)",0
"""In which movie did Garbo say, """"I want to be alone"""".""",doubtful_1,86,0.000004,-12.516968,Anna Christie,0
What was President Gerald Ford's middle name?,doubtful_1,87,0.000003,-12.609357,Ford,0
In which country is the Sky Train Rail bridge?,doubtful_1,88,0.000003,-12.824687,Thailand,0
What was Truman Capote's last name before he was adopted by his stepfather?,doubtful_1,89,0.000003,-12.856800,Capote,0
Which artist David was born in Bradford UK?,doubtful_1,90,0.000002,-12.960010,David Hockney,1
What would Kevin Scale have been called if it had adopted the originator's first name?,doubtful_1,91,0.000002,-12.966007,James,0
Which actress was voted Miss Greenwich Village in 1942?,doubtful_1,92,0.000002,-12.984774,Joan Blondell,0
To the nearest million what is the population of Australia?,doubtful_1,93,0.000002,-12.993648,26 million,0
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,doubtful_1,94,0.000002,-13.282615,Practice more.,0
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",doubtful_1,95,0.000002,-13.370888,for a rich man to enter the kingdom of heaven.,1
In which decade did stereo records first go on sale?,doubtful_1,96,0.000001,-13.579423,1950s,1
Who was the next British Prime Minister after Arthur Balfour?,doubtful_1,97,0.000001,-13.945579,Robert Cecil,0
River Phoenix died during the making of which movie?,doubtful_1,98,0.000001,-14.014607,Waterworld,0
What star sign is Jamie Lee Curtis?,doubtful_1,99,0.000000,-14.560834,Scorpio,1
In which state was Gene Vincent born?,doubtful_1,100,0.000000,-27.631115,Louisiana,0
Who directed the classic 30s western Stagecoach?,doubtful_2,1,0.915627,-0.088146,John Ford,1
"In the Bible, who saw the handwriting on the wall?",doubtful_2,2,0.028183,-3.569024,Belshazzar,1
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",doubtful_2,3,0.024995,-3.689075,for a rich man to enter the kingdom of heaven.,1
Where in Canada is the Lion's Gate bridge?,doubtful_2,4,0.017579,-4.041071,"Vancouver, BC",1
Who is the most successful UK solo artist in the USA?,doubtful_2,5,0.011879,-4.432951,Elton John,1
Where was horse racing's Breeder's Cup held in 1987?,doubtful_2,6,0.001486,-6.511346,Hialeah Park,0
Who had an 80s No 1 hit with Hold On To The Nights?,doubtful_2,7,0.000016,-11.019285,Cyndi Lauper,0
How was the European Recovery Program in the 1940s more commonly known?,doubtful_2,8,0.000014,-11.186005,Marshall Plan,1
Which highway was Revisited in a classic 60s album by Bob Dylan?,doubtful_2,9,0.000011,-11.413185,Highway 61,1
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",doubtful_2,10,0.000010,-11.475676,Adolf Hitler,1
In which country is the Sky Train Rail bridge?,doubtful_2,11,0.000009,-11.659631,Thailand,0
Dave Gilmore and Roger Waters were in which rock group?,doubtful_2,12,0.000008,-11.710690,Pink Floyd,1
"In Greek mythology, who were Arges, Brontes and Steropes?",doubtful_2,13,0.000007,-11.883714,Cyclopes,1
Of which African country is Niamey the capital?,doubtful_2,14,0.000007,-11.885922,Niger,1
Richard Daley was mayor of which city for 21 years?,doubtful_2,15,0.000007,-11.890014,Chicago,1
On what date in 1969 did Neil Armstrong first set foot on the Moon?,doubtful_2,16,0.000007,-11.918857,July 20,1
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,doubtful_2,17,0.000007,-11.930962,"Isabella Rossellini's ""Eye of the Tiger""",0
In the 80s who wrote the novel Empire of The Sun?,doubtful_2,18,0.000006,-11.947860,Kazuo Ishiguro,0
In what year's Olympics were electric timing devices and a public-address system used for the first time?,doubtful_2,19,0.000006,-11.978273,1932,0
Who had a 70s No 1 hit with Let's Do It Again?,doubtful_2,20,0.000006,-12.086190,Bee Gees,0
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",doubtful_2,21,0.000005,-12.140512,Anne Sullivan Macy,0
Which volcano in Tanzania is the highest mountain in Africa?,doubtful_2,22,0.000005,-12.248960,Mount Kilimanjaro,1
"In the very first Boston Marathon, 15 runners competed. How many finished?",doubtful_2,23,0.000004,-12.394962,15,0
What was the profession of Paul Strand (1890 - 1976)?,doubtful_2,24,0.000004,-12.413635,Photographer,1
Art Garfunkel trained for which profession although he didn't qualify?,doubtful_2,25,0.000004,-12.429030,medicine,0
Which Lloyd Webber musical premiered in the US on 10th December 1993?,doubtful_2,26,0.000004,-12.451529,Sunset Boulevard,1
Who was the only Englishman to become Pope?,doubtful_2,27,0.000004,-12.454538,Sir Thomas Walden (Urban II),0
Who was the first person after Scott to reach the South Pole overland?,doubtful_2,28,0.000004,-12.481709,Amundsen,0
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,doubtful_2,29,0.000004,-12.522416,Hedy Lamarr,0
In what state was playwright Tennessee Williams born?,doubtful_2,30,0.000003,-12.611982,Mississippi,1
Bandar Seri Begawan International airport is in which country?,doubtful_2,31,0.000003,-12.620958,Brunei,1
Which country does the airline TAAG come from?,doubtful_2,32,0.000003,-12.683327,Namibia,0
Brandon Lee died during the making of which movie?,doubtful_2,33,0.000003,-12.691374,The Crow,1
What is the Japanese share index called?,doubtful_2,34,0.000003,-12.698377,Nikkei Stock Average,1
Which drink did The Spice Girls promote?,doubtful_2,35,0.000003,-12.706599,Seven Up,0
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,doubtful_2,36,0.000003,-12.756998,Dangerous Minds,1
What was the last US state to reintroduce alcohol after prohibition?,doubtful_2,37,0.000003,-12.830752,Maine,0
If I Were A Rich Man Was a big hit from which stage show?,doubtful_2,38,0.000003,-12.833705,Fiddler on the Roof,1
In which sport could the Pacers take on the Pistons?,doubtful_2,39,0.000003,-12.849231,Basketball,1
Which journalist first told the world about the My Lai massacre?,doubtful_2,40,0.000003,-12.878252,David Nguyen,0
What is Mel Gibson's middle name?,doubtful_2,41,0.000002,-12.906797,Stephen,0
What star sign is Jamie Lee Curtis?,doubtful_2,42,0.000002,-12.974528,Scorpio,1
Who was the man behind The Chipmunks?,doubtful_2,43,0.000002,-13.012778,David Seville,1
"In the Bible, who did the sun and moon stand still before?",doubtful_2,44,0.000002,-13.079718,A: Joshua,1
Who or what was Gentle Ben in the 60s TV series?,doubtful_2,45,0.000002,-13.166885,Gentle Ben was a grizzly bear.,0
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,doubtful_2,46,0.000002,-13.173163,Mutiny on the Bounty,1
Rita Coolidge sang the title song for which Bond film?,doubtful_2,47,0.000002,-13.196515,Live and Let Die,0
To the nearest million what is the population of Australia?,doubtful_2,48,0.000002,-13.268676,25 million,1
What was Eddie Murphy's first movie?,doubtful_2,49,0.000002,-13.287984,Rawhide West,0
What was Truman Capote's last name before he was adopted by his stepfather?,doubtful_2,50,0.000002,-13.320531,Capote,0
Who had a Too Legit To Quit Tour?,doubtful_2,51,0.000002,-13.358280,Too Short,0
What claimed the life of singer Kathleen Ferrier?,doubtful_2,52,0.000002,-13.373492,Tuberculosis,0
What is the only novel to top the best-seller lists for two consecutive years?,doubtful_2,53,0.000002,-13.398334,"""Gone Girl""",0
What was Walter Matthau's first movie?,doubtful_2,54,0.000001,-13.445335,The Great Escape,0
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,doubtful_2,55,0.000001,-13.453646,Twilight Zone,0
What was President Gerald Ford's middle name?,doubtful_2,56,0.000001,-13.460305,Ford,0
River Phoenix died during the making of which movie?,doubtful_2,57,0.000001,-13.526838,Waterworld,0
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",doubtful_2,58,0.000001,-13.556589,Minotaur,0
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,doubtful_2,59,0.000001,-13.589202,Yugoslavia,1
What was the name of Michael Jackson's autobiography written in 1988?,doubtful_2,60,0.000001,-13.616240,"""Moonwalk""",1
What was the Paramount Film Company originally called?,doubtful_2,61,0.000001,-13.654386,American Film Manufacturing Company,0
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,doubtful_2,62,0.000001,-13.716372,Buster Brown,0
Which 70s show was based on the British show Till Death Us Do Part?,doubtful_2,63,0.000001,-13.722339,All in the Family,1
Who was the youngest brother in the Beach Boys?,doubtful_2,64,0.000001,-13.736658,Dennis Wilson,0
Who recorded the When Harry Met Sally soundtrack?,doubtful_2,65,0.000001,-13.775764,Gilbert O'Sullivan,0
Kagoshima international airport is in which country?,doubtful_2,66,0.000001,-13.783949,Japan,1
Who first hosted Family Feud?,doubtful_2,67,0.000001,-13.801792,Richie Siegel,0
Who was the next British Prime Minister after Arthur Balfour?,doubtful_2,68,0.000001,-13.851505,David Lloyd George,0
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,doubtful_2,69,0.000001,-13.907685,Chris Evert,1
Which Brit broke the land speed record in 1990 in Thrust 2?,doubtful_2,70,0.000001,-13.914516,Andy Green,0
In which state was Gene Vincent born?,doubtful_2,71,0.000001,-13.967003,North Carolina,0
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",doubtful_2,72,0.000001,-13.974164,Hinduism and Christianity.,0
Which musician founded the Red Hot Peppers?,doubtful_2,73,0.000001,-14.069930,Red Hot Chili Peppers,1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,doubtful_2,74,0.000001,-14.106680,The Woman in White,0
Who was the last inmate of Spandau jail in Berlin?,doubtful_2,75,0.000001,-14.108762,Rudolf Hess,1
Which founder of the company Triad was accused by the USA of receiving bribes?,doubtful_2,76,0.000001,-14.134593,John de la Haye,0
Where did the Shinning Path terrorists operate?,doubtful_2,77,0.000001,-14.152721,Peru,1
How old was Jimi Hendrix when he died?,doubtful_2,78,0.000001,-14.170679,27,1
Otis Barton was a pioneer in exploring where?,doubtful_2,79,0.000001,-14.170800,Deep ocean depths.,1
Who was the first US-born winner of golf's British Open?,doubtful_2,80,0.000001,-14.171264,Corey Pavin,0
Who was the director of the CIA from 1976-81?,doubtful_2,81,0.000001,-14.269948,William E. Colby,0
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,doubtful_2,82,0.000001,-14.276118,Perfection.,0
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",doubtful_2,83,0.000001,-14.291040,A: A bill.,0
In which decade did stereo records first go on sale?,doubtful_2,84,0.000001,-14.313498,1950s,1
"In Greek mythology, what were the names of Oedipus's parents?",doubtful_2,85,0.000001,-14.407229,Laius and Jocasta.,1
Which US No 1 single came from Diana Ross's platinum album Diana?,doubtful_2,86,0.000001,-14.412612,"""Love Hangover""",0
"""In which movie did Garbo say, """"I want to be alone"""".""",doubtful_2,87,0.000001,-14.416986,Grand Hotel,1
What is the name of Terence and Shirley Conran's dress designer son?,doubtful_2,88,0.000001,-14.471688,Tom,0
Who had a 70s No 1 hit with Kiss You All Over?,doubtful_2,89,0.000000,-14.623599,Dusty Springfield,0
Which musical featured the song The Street Where You Live?,doubtful_2,90,0.000000,-14.769741,My Fair Lady,1
What would Kevin Scale have been called if it had adopted the originator's first name?,doubtful_2,91,0.000000,-14.856880,Kevin,0
The flag of Libya is a plain rectangle of which color?,doubtful_2,92,0.000000,-14.932535,Green,1
What is Osbert Lancaster best known for producing?,doubtful_2,93,0.000000,-15.094964,Illustrations and comic strips.,1
Which artist David was born in Bradford UK?,doubtful_2,94,0.000000,-15.157048,David Hockney,1
Why is the site of a boxing match called a ring when it's square?,doubtful_2,95,0.000000,-15.253772,circlular for tradition.,0
Robert Kirkpatrick of California grew the world's biggest what?,doubtful_2,96,0.000000,-15.362968,Watermelon,0
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",doubtful_2,97,0.000000,-15.475166,15,0
What did the Lone Ranger's title Kemo Sabe mean in Apache?,doubtful_2,98,0.000000,-15.539561,Honest Word,0
Which actress was voted Miss Greenwich Village in 1942?,doubtful_2,99,0.000000,-27.631196,Joan Blondell,0
Where in England was actor Nigel Hawthorne born?,doubtful_2,100,0.000000,-27.631196,Bristol,0
Which volcano in Tanzania is the highest mountain in Africa?,evidential_1,1,0.099936,-2.303229,Mount Kilimanjaro,1
In which sport could the Pacers take on the Pistons?,evidential_1,2,0.049886,-2.998022,Basketball,1
Who directed the classic 30s western Stagecoach?,evidential_1,3,0.034892,-3.355491,John Ford,1
Which journalist first told the world about the My Lai massacre?,evidential_1,4,0.034094,-3.378630,Pete Daniel Berman,0
Kagoshima international airport is in which country?,evidential_1,5,0.033416,-3.398735,Japan,1
Bandar Seri Begawan International airport is in which country?,evidential_1,6,0.025604,-3.665013,Brunei,1
Who was the director of the CIA from 1976-81?,evidential_1,7,0.023482,-3.751536,William E. Colby,0
Who was the first person after Scott to reach the South Pole overland?,evidential_1,8,0.023094,-3.768177,Amundsen,0
River Phoenix died during the making of which movie?,evidential_1,9,0.021353,-3.846546,Weird Science,0
Where was horse racing's Breeder's Cup held in 1987?,evidential_1,10,0.021115,-3.857788,Santa Anita Park,1
"In the Bible, who saw the handwriting on the wall?",evidential_1,11,0.020174,-3.903375,Belshazzar,1
Who had an 80s No 1 hit with Hold On To The Nights?,evidential_1,12,0.019622,-3.931118,Culture Club,0
Dave Gilmore and Roger Waters were in which rock group?,evidential_1,13,0.019133,-3.956328,Pink Floyd,1
Richard Daley was mayor of which city for 21 years?,evidential_1,14,0.018868,-3.970310,Chicago,1
What was the Paramount Film Company originally called?,evidential_1,15,0.018563,-3.986591,American Magyar Film Corporation,0
Who was the man behind The Chipmunks?,evidential_1,16,0.017893,-4.023351,David Seville,1
Of which African country is Niamey the capital?,evidential_1,17,0.015849,-4.144670,Niger,1
Who had a 70s No 1 hit with Kiss You All Over?,evidential_1,18,0.013665,-4.292945,Steve Miller Band,0
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,evidential_1,19,0.013245,-4.324128,Dangerous Minds,1
What was the last US state to reintroduce alcohol after prohibition?,evidential_1,20,0.012638,-4.371068,North Dakota,0
What was President Gerald Ford's middle name?,evidential_1,21,0.012494,-4.382481,Ford,0
On what date in 1969 did Neil Armstrong first set foot on the Moon?,evidential_1,22,0.012482,-4.383429,July 20,1
What claimed the life of singer Kathleen Ferrier?,evidential_1,23,0.012288,-4.399155,Cancer,1
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",evidential_1,24,0.011413,-4.472985,Adolf Hitler,1
How was the European Recovery Program in the 1940s more commonly known?,evidential_1,25,0.010627,-4.544381,Marshall Plan,1
Which highway was Revisited in a classic 60s album by Bob Dylan?,evidential_1,26,0.010596,-4.547236,Highway 61,1
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,evidential_1,27,0.010519,-4.554569,Chris Evert,1
Which Brit broke the land speed record in 1990 in Thrust 2?,evidential_1,28,0.010458,-4.560398,Andy Green,0
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",evidential_1,29,0.010424,-4.563682,for a rich man to enter the kingdom of heaven.,1
What is the only novel to top the best-seller lists for two consecutive years?,evidential_1,30,0.010282,-4.577343,"""Gone Girl"" by Gillian Flynn.",0
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",evidential_1,31,0.010094,-4.595805,Lion-man-headed dragon.,1
In the 80s who wrote the novel Empire of The Sun?,evidential_1,32,0.009479,-4.658648,William Golding,0
The flag of Libya is a plain rectangle of which color?,evidential_1,33,0.009373,-4.669958,green,1
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,evidential_1,34,0.009131,-4.696097,Mutiny on the Bounty,1
Otis Barton was a pioneer in exploring where?,evidential_1,35,0.009065,-4.703328,Deep ocean depths.,1
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",evidential_1,36,0.008992,-4.711389,a Snark was a Boojum.,1
Which actress was voted Miss Greenwich Village in 1942?,evidential_1,37,0.008298,-4.791750,Joan Blondell,0
What was the profession of Paul Strand (1890 - 1976)?,evidential_1,38,0.008084,-4.817910,Photographer,1
If I Were A Rich Man Was a big hit from which stage show?,evidential_1,39,0.007884,-4.842919,Fiddler on the Roof,1
What is the Japanese share index called?,evidential_1,40,0.007670,-4.870397,Nikkei Index,1
Which artist David was born in Bradford UK?,evidential_1,41,0.007579,-4.882402,David Hockney,1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,evidential_1,42,0.007398,-4.906521,The Woman in White,0
"In the Bible, who did the sun and moon stand still before?",evidential_1,43,0.007320,-4.917152,Joshua,1
Which musical featured the song The Street Where You Live?,evidential_1,44,0.007274,-4.923501,My Fair Lady,1
Who recorded the When Harry Met Sally soundtrack?,evidential_1,45,0.007101,-4.947471,Billy Joel,0
Which drink did The Spice Girls promote?,evidential_1,46,0.007043,-4.955711,Seven Up,0
Brandon Lee died during the making of which movie?,evidential_1,47,0.006951,-4.968912,Die Hard,0
