question_i,question_j,winner,style
What is the Japanese share index called?,Richard Daley was mayor of which city for 21 years?,1,confident_2
What is the Japanese share index called?,Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,1,confident_2
What was the name of Michael Jackson's autobiography written in 1988?,"In Greek mythology, what were the names of Oedipus's parents?",2,confident_2
What was the name of Michael Jackson's autobiography written in 1988?,Which musical featured the song The Street Where You Live?,1,confident_2
What was the name of Michael Jackson's autobiography written in 1988?,Where did the Shinning Path terrorists operate?,2,confident_2
What was the name of Michael Jackson's autobiography written in 1988?,Who was the man behind The Chipmunks?,2,confident_2
What was the name of Michael Jackson's autobiography written in 1988?,Who was the next British Prime Minister after Arthur Balfour?,1,confident_2
What was the name of Michael Jackson's autobiography written in 1988?,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,1,confident_2
What was the name of Michael Jackson's autobiography written in 1988?,"""In which movie did Garbo say, """"I want to be alone"""".""",1,confident_2
What was the name of Michael Jackson's autobiography written in 1988?,Who had an 80s No 1 hit with Hold On To The Nights?,1,confident_2
What was the name of Michael Jackson's autobiography written in 1988?,In which sport could the Pacers take on the Pistons?,2,confident_2
What was the name of Michael Jackson's autobiography written in 1988?,Where in England was actor Nigel Hawthorne born?,1,confident_2
In which decade did stereo records first go on sale?,"In the very first Boston Marathon, 15 runners competed. How many finished?",2,confident_2
In which decade did stereo records first go on sale?,Who was the first person after Scott to reach the South Pole overland?,2,confident_2
In which decade did stereo records first go on sale?,Who was the only Englishman to become Pope?,1,confident_2
In which decade did stereo records first go on sale?,What was President Gerald Ford's middle name?,-1,confident_2
In which decade did stereo records first go on sale?,Which musical featured the song The Street Where You Live?,1,confident_2
In which decade did stereo records first go on sale?,Who was the next British Prime Minister after Arthur Balfour?,2,confident_2
In which decade did stereo records first go on sale?,Otis Barton was a pioneer in exploring where?,1,confident_2
In which decade did stereo records first go on sale?,In what state was playwright Tennessee Williams born?,2,confident_2
In which decade did stereo records first go on sale?,Who was the man behind The Chipmunks?,1,confident_2
In which decade did stereo records first go on sale?,Where did the Shinning Path terrorists operate?,2,confident_2
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,River Phoenix died during the making of which movie?,1,confident_2
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Which musical featured the song The Street Where You Live?,2,confident_2
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Who was the first person after Scott to reach the South Pole overland?,2,confident_2
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,2,confident_2
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Where did the Shinning Path terrorists operate?,2,confident_2
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Who was the next British Prime Minister after Arthur Balfour?,1,confident_2
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,In what state was playwright Tennessee Williams born?,2,confident_2
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,What star sign is Jamie Lee Curtis?,2,confident_2
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,The flag of Libya is a plain rectangle of which color?,2,confident_2
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Otis Barton was a pioneer in exploring where?,2,confident_2
In what year's Olympics were electric timing devices and a public-address system used for the first time?,What was President Gerald Ford's middle name?,1,confident_2
In what year's Olympics were electric timing devices and a public-address system used for the first time?,What was the last US state to reintroduce alcohol after prohibition?,1,confident_2
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Which actress was voted Miss Greenwich Village in 1942?,1,confident_2
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Otis Barton was a pioneer in exploring where?,1,confident_2
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Where was horse racing's Breeder's Cup held in 1987?,1,confident_2
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Where in England was actor Nigel Hawthorne born?,2,confident_2
In what year's Olympics were electric timing devices and a public-address system used for the first time?,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",1,confident_2
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Rita Coolidge sang the title song for which Bond film?,1,confident_2
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Which Brit broke the land speed record in 1990 in Thrust 2?,2,confident_2
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Of which African country is Niamey the capital?,1,confident_2
Why is the site of a boxing match called a ring when it's square?,Richard Daley was mayor of which city for 21 years?,1,confident_2
Why is the site of a boxing match called a ring when it's square?,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",1,confident_2
Why is the site of a boxing match called a ring when it's square?,"In Greek mythology, what were the names of Oedipus's parents?",1,confident_2
Why is the site of a boxing match called a ring when it's square?,What did the Lone Ranger's title Kemo Sabe mean in Apache?,1,confident_2
Why is the site of a boxing match called a ring when it's square?,Where in Canada is the Lion's Gate bridge?,1,confident_2
Why is the site of a boxing match called a ring when it's square?,The flag of Libya is a plain rectangle of which color?,-1,confident_2
Why is the site of a boxing match called a ring when it's square?,What was Truman Capote's last name before he was adopted by his stepfather?,1,confident_2
Why is the site of a boxing match called a ring when it's square?,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,1,confident_2
Why is the site of a boxing match called a ring when it's square?,Who was the first person after Scott to reach the South Pole overland?,1,confident_2
Why is the site of a boxing match called a ring when it's square?,"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",1,confident_2
"In the very first Boston Marathon, 15 runners competed. How many finished?","""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",2,confident_2
"In the very first Boston Marathon, 15 runners competed. How many finished?",Where in England was actor Nigel Hawthorne born?,1,confident_2
"In the very first Boston Marathon, 15 runners competed. How many finished?",Which journalist first told the world about the My Lai massacre?,2,confident_2
"In the very first Boston Marathon, 15 runners competed. How many finished?",Which musician founded the Red Hot Peppers?,2,confident_2
"In the very first Boston Marathon, 15 runners competed. How many finished?","To whom did Helen Keller dedicate her autobiography, The Story of My Life?",1,confident_2
"In the very first Boston Marathon, 15 runners competed. How many finished?",What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,-1,confident_2
"In the very first Boston Marathon, 15 runners competed. How many finished?","""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",2,confident_2
"In the very first Boston Marathon, 15 runners competed. How many finished?","In the Bible, who did the sun and moon stand still before?",2,confident_2
"In the very first Boston Marathon, 15 runners competed. How many finished?",What was the name of Michael Jackson's autobiography written in 1988?,1,confident_2
"In the very first Boston Marathon, 15 runners competed. How many finished?",If I Were A Rich Man Was a big hit from which stage show?,2,confident_2
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",Rita Coolidge sang the title song for which Bond film?,1,confident_2
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",What is Osbert Lancaster best known for producing?,2,confident_2
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",Bandar Seri Begawan International airport is in which country?,-1,confident_2
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",In what state was playwright Tennessee Williams born?,1,confident_2
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""","""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",1,confident_2
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",What comic strip character was named after heavyweight boxing champion James J. Jeffries?,2,confident_2
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",Which founder of the company Triad was accused by the USA of receiving bribes?,2,confident_2
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",Who was the first US-born winner of golf's British Open?,2,confident_2
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",To the nearest million what is the population of Australia?,1,confident_2
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",Which was the only eastern bloc country to participate in the 1984 LA Olympics?,2,confident_2
Which volcano in Tanzania is the highest mountain in Africa?,Who directed the classic 30s western Stagecoach?,1,confident_2
Which volcano in Tanzania is the highest mountain in Africa?,Of which African country is Niamey the capital?,1,confident_2
Which volcano in Tanzania is the highest mountain in Africa?,Who had a 70s No 1 hit with Let's Do It Again?,1,confident_2
Which volcano in Tanzania is the highest mountain in Africa?,In which country is the Sky Train Rail bridge?,1,confident_2
Which volcano in Tanzania is the highest mountain in Africa?,What is Mel Gibson's middle name?,1,confident_2
Which volcano in Tanzania is the highest mountain in Africa?,What did the Lone Ranger's title Kemo Sabe mean in Apache?,1,confident_2
Which volcano in Tanzania is the highest mountain in Africa?,To the nearest million what is the population of Australia?,1,confident_2
Which volcano in Tanzania is the highest mountain in Africa?,In the 80s who wrote the novel Empire of The Sun?,2,confident_2
Which volcano in Tanzania is the highest mountain in Africa?,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",1,confident_2
Which volcano in Tanzania is the highest mountain in Africa?,Where in England was actor Nigel Hawthorne born?,1,confident_2
The flag of Libya is a plain rectangle of which color?,Dave Gilmore and Roger Waters were in which rock group?,2,confident_2
The flag of Libya is a plain rectangle of which color?,Which US No 1 single came from Diana Ross's platinum album Diana?,1,confident_2
The flag of Libya is a plain rectangle of which color?,Who is the most successful UK solo artist in the USA?,2,confident_2
The flag of Libya is a plain rectangle of which color?,What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,1,confident_2
The flag of Libya is a plain rectangle of which color?,Richard Daley was mayor of which city for 21 years?,2,confident_2
The flag of Libya is a plain rectangle of which color?,"In Greek mythology, what were the names of Oedipus's parents?",1,confident_2
The flag of Libya is a plain rectangle of which color?,What was the profession of Paul Strand (1890 - 1976)?,2,confident_2
The flag of Libya is a plain rectangle of which color?,What comic strip character was named after heavyweight boxing champion James J. Jeffries?,2,confident_2
The flag of Libya is a plain rectangle of which color?,Art Garfunkel trained for which profession although he didn't qualify?,2,confident_2
The flag of Libya is a plain rectangle of which color?,What claimed the life of singer Kathleen Ferrier?,2,confident_2
Of which African country is Niamey the capital?,On what date in 1969 did Neil Armstrong first set foot on the Moon?,2,confident_2
Of which African country is Niamey the capital?,What did the Lone Ranger's title Kemo Sabe mean in Apache?,1,confident_2
Of which African country is Niamey the capital?,In which sport could the Pacers take on the Pistons?,2,confident_2
Of which African country is Niamey the capital?,Who was the first person after Scott to reach the South Pole overland?,1,confident_2
Of which African country is Niamey the capital?,"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",2,confident_2
Of which African country is Niamey the capital?,What is the only novel to top the best-seller lists for two consecutive years?,2,confident_2
Of which African country is Niamey the capital?,Who had a 70s No 1 hit with Let's Do It Again?,2,confident_2
Of which African country is Niamey the capital?,What star sign is Jamie Lee Curtis?,1,confident_2
Of which African country is Niamey the capital?,What was the last US state to reintroduce alcohol after prohibition?,1,confident_2
Of which African country is Niamey the capital?,In which decade did stereo records first go on sale?,1,confident_2
Who was the director of the CIA from 1976-81?,What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,2,confident_2
Who was the director of the CIA from 1976-81?,Who had an 80s No 1 hit with Hold On To The Nights?,1,confident_2
Who was the director of the CIA from 1976-81?,What was President Gerald Ford's middle name?,1,confident_2
Who was the director of the CIA from 1976-81?,What is the only novel to top the best-seller lists for two consecutive years?,2,confident_2
Who was the director of the CIA from 1976-81?,Who had a 70s No 1 hit with Kiss You All Over?,1,confident_2
Who was the director of the CIA from 1976-81?,Which highway was Revisited in a classic 60s album by Bob Dylan?,2,confident_2
Who was the director of the CIA from 1976-81?,Richard Daley was mayor of which city for 21 years?,2,confident_2
Who was the director of the CIA from 1976-81?,Who recorded the When Harry Met Sally soundtrack?,1,confident_2
Who was the director of the CIA from 1976-81?,What was the last US state to reintroduce alcohol after prohibition?,2,confident_2
Who was the director of the CIA from 1976-81?,How was the European Recovery Program in the 1940s more commonly known?,2,confident_2
Which musical featured the song The Street Where You Live?,River Phoenix died during the making of which movie?,1,confident_2
Which musical featured the song The Street Where You Live?,Which founder of the company Triad was accused by the USA of receiving bribes?,1,confident_2
Which musical featured the song The Street Where You Live?,If I Were A Rich Man Was a big hit from which stage show?,1,confident_2
Which musical featured the song The Street Where You Live?,Who directed the classic 30s western Stagecoach?,2,confident_2
Which musical featured the song The Street Where You Live?,Of which African country is Niamey the capital?,1,confident_2
Which musical featured the song The Street Where You Live?,Who had an 80s No 1 hit with Hold On To The Nights?,2,confident_2
Which musical featured the song The Street Where You Live?,Who had a Too Legit To Quit Tour?,2,confident_2
Which musical featured the song The Street Where You Live?,Who is the most successful UK solo artist in the USA?,2,confident_2
Which musical featured the song The Street Where You Live?,What was Truman Capote's last name before he was adopted by his stepfather?,1,confident_2
Which musical featured the song The Street Where You Live?,On what date in 1969 did Neil Armstrong first set foot on the Moon?,-1,confident_2
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","""In which movie did Garbo say, """"I want to be alone"""".""",1,confident_2
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",What was the last US state to reintroduce alcohol after prohibition?,1,confident_2
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Of which African country is Niamey the capital?,1,confident_2
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Which volcano in Tanzania is the highest mountain in Africa?,2,confident_2
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",What is Osbert Lancaster best known for producing?,1,confident_2
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Brandon Lee died during the making of which movie?,-1,confident_2
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""","What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",1,confident_2
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",What is Mel Gibson's middle name?,2,confident_2
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Who first hosted Family Feud?,2,confident_2
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Which Brit broke the land speed record in 1990 in Thrust 2?,2,confident_2
Who had an 80s No 1 hit with Hold On To The Nights?,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,1,confident_2
Who had an 80s No 1 hit with Hold On To The Nights?,Kagoshima international airport is in which country?,2,confident_2
Who had an 80s No 1 hit with Hold On To The Nights?,To the nearest million what is the population of Australia?,1,confident_2
Who had an 80s No 1 hit with Hold On To The Nights?,Who was the last inmate of Spandau jail in Berlin?,1,confident_2
Who had an 80s No 1 hit with Hold On To The Nights?,Which Brit broke the land speed record in 1990 in Thrust 2?,2,confident_2
Who had an 80s No 1 hit with Hold On To The Nights?,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",-1,confident_2
Who had an 80s No 1 hit with Hold On To The Nights?,Where in Canada is the Lion's Gate bridge?,1,confident_2
Who had an 80s No 1 hit with Hold On To The Nights?,"In Greek mythology, who were Arges, Brontes and Steropes?",1,confident_2
Who had an 80s No 1 hit with Hold On To The Nights?,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,2,confident_2
Who had an 80s No 1 hit with Hold On To The Nights?,Which country does the airline TAAG come from?,2,confident_2
Who directed the classic 30s western Stagecoach?,Which volcano in Tanzania is the highest mountain in Africa?,1,confident_2
Who directed the classic 30s western Stagecoach?,Who was the youngest brother in the Beach Boys?,2,confident_2
Who directed the classic 30s western Stagecoach?,What was President Gerald Ford's middle name?,1,confident_2
Who directed the classic 30s western Stagecoach?,Who was the man behind The Chipmunks?,2,confident_2
Who directed the classic 30s western Stagecoach?,"""In which movie did Garbo say, """"I want to be alone"""".""",1,confident_2
Who directed the classic 30s western Stagecoach?,What would Kevin Scale have been called if it had adopted the originator's first name?,1,confident_2
Who directed the classic 30s western Stagecoach?,Which actress was voted Miss Greenwich Village in 1942?,1,confident_2
Who directed the classic 30s western Stagecoach?,In which state was Gene Vincent born?,1,confident_2
Who directed the classic 30s western Stagecoach?,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,2,confident_2
Who directed the classic 30s western Stagecoach?,Who was the first person after Scott to reach the South Pole overland?,1,confident_2
Dave Gilmore and Roger Waters were in which rock group?,Who recorded the When Harry Met Sally soundtrack?,1,confident_2
Dave Gilmore and Roger Waters were in which rock group?,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,2,confident_2
Dave Gilmore and Roger Waters were in which rock group?,To the nearest million what is the population of Australia?,1,confident_2
Dave Gilmore and Roger Waters were in which rock group?,Which Brit broke the land speed record in 1990 in Thrust 2?,1,confident_2
Dave Gilmore and Roger Waters were in which rock group?,What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,1,confident_2
Dave Gilmore and Roger Waters were in which rock group?,"In the Bible, who did the sun and moon stand still before?",1,confident_2
Dave Gilmore and Roger Waters were in which rock group?,Who was the first US-born winner of golf's British Open?,2,confident_2
Dave Gilmore and Roger Waters were in which rock group?,Richard Daley was mayor of which city for 21 years?,1,confident_2
Dave Gilmore and Roger Waters were in which rock group?,Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,1,confident_2
Dave Gilmore and Roger Waters were in which rock group?,Which musician founded the Red Hot Peppers?,1,confident_2
Which highway was Revisited in a classic 60s album by Bob Dylan?,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",2,confident_2
Which highway was Revisited in a classic 60s album by Bob Dylan?,The flag of Libya is a plain rectangle of which color?,1,confident_2
Which highway was Revisited in a classic 60s album by Bob Dylan?,Kagoshima international airport is in which country?,1,confident_2
Which highway was Revisited in a classic 60s album by Bob Dylan?,Who had an 80s No 1 hit with Hold On To The Nights?,1,confident_2
Which highway was Revisited in a classic 60s album by Bob Dylan?,Which Lloyd Webber musical premiered in the US on 10th December 1993?,1,confident_2
Which highway was Revisited in a classic 60s album by Bob Dylan?,What was Walter Matthau's first movie?,1,confident_2
Which highway was Revisited in a classic 60s album by Bob Dylan?,What is the Japanese share index called?,1,confident_2
Which highway was Revisited in a classic 60s album by Bob Dylan?,Who or what was Gentle Ben in the 60s TV series?,2,confident_2
Which highway was Revisited in a classic 60s album by Bob Dylan?,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,1,confident_2
Which highway was Revisited in a classic 60s album by Bob Dylan?,What was President Gerald Ford's middle name?,1,confident_2
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,"""In which movie did Garbo say, """"I want to be alone"""".""",2,confident_2
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,2,confident_2
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,What is the name of Terence and Shirley Conran's dress designer son?,2,confident_2
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,In which decade did stereo records first go on sale?,1,confident_2
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Who was the man behind The Chipmunks?,2,confident_2
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Kagoshima international airport is in which country?,1,confident_2
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Richard Daley was mayor of which city for 21 years?,1,confident_2
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Which Brit broke the land speed record in 1990 in Thrust 2?,2,confident_2
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,"In the very first Boston Marathon, 15 runners competed. How many finished?",2,confident_2
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Who had a Too Legit To Quit Tour?,1,confident_2
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,What star sign is Jamie Lee Curtis?,1,confident_2
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,What would Kevin Scale have been called if it had adopted the originator's first name?,1,confident_2
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Which US No 1 single came from Diana Ross's platinum album Diana?,1,confident_2
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Who directed the classic 30s western Stagecoach?,2,confident_2
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Which was the only eastern bloc country to participate in the 1984 LA Olympics?,2,confident_2
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Where in England was actor Nigel Hawthorne born?,1,confident_2
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,What did the Lone Ranger's title Kemo Sabe mean in Apache?,1,confident_2
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Which highway was Revisited in a classic 60s album by Bob Dylan?,2,confident_2
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,2,confident_2
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Who was the man behind The Chipmunks?,1,confident_2
If I Were A Rich Man Was a big hit from which stage show?,Which volcano in Tanzania is the highest mountain in Africa?,2,confident_2
If I Were A Rich Man Was a big hit from which stage show?,Which US No 1 single came from Diana Ross's platinum album Diana?,1,confident_2
If I Were A Rich Man Was a big hit from which stage show?,Why is the site of a boxing match called a ring when it's square?,1,confident_2
If I Were A Rich Man Was a big hit from which stage show?,Which journalist first told the world about the My Lai massacre?,1,confident_2
If I Were A Rich Man Was a big hit from which stage show?,Where did the Shinning Path terrorists operate?,1,confident_2
If I Were A Rich Man Was a big hit from which stage show?,Where in England was actor Nigel Hawthorne born?,1,confident_2
If I Were A Rich Man Was a big hit from which stage show?,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",2,confident_2
If I Were A Rich Man Was a big hit from which stage show?,What would Kevin Scale have been called if it had adopted the originator's first name?,1,confident_2
If I Were A Rich Man Was a big hit from which stage show?,What is the Japanese share index called?,1,confident_2
If I Were A Rich Man Was a big hit from which stage show?,The flag of Libya is a plain rectangle of which color?,1,confident_2
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Which musical featured the song The Street Where You Live?,2,confident_2
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",-1,confident_2
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Which artist David was born in Bradford UK?,2,confident_2
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,The flag of Libya is a plain rectangle of which color?,-1,confident_2
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Where was horse racing's Breeder's Cup held in 1987?,2,confident_2
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,What was Eddie Murphy's first movie?,-1,confident_2
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,What is Mel Gibson's middle name?,1,confident_2
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Where in England was actor Nigel Hawthorne born?,1,confident_2
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,In which sport could the Pacers take on the Pistons?,1,confident_2
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,1,confident_2
What is the only novel to top the best-seller lists for two consecutive years?,In what state was playwright Tennessee Williams born?,1,confident_2
What is the only novel to top the best-seller lists for two consecutive years?,Dave Gilmore and Roger Waters were in which rock group?,2,confident_2
What is the only novel to top the best-seller lists for two consecutive years?,Which actress was voted Miss Greenwich Village in 1942?,2,confident_2
What is the only novel to top the best-seller lists for two consecutive years?,What is Osbert Lancaster best known for producing?,1,confident_2
What is the only novel to top the best-seller lists for two consecutive years?,Who was the only Englishman to become Pope?,1,confident_2
What is the only novel to top the best-seller lists for two consecutive years?,Who was the next British Prime Minister after Arthur Balfour?,1,confident_2
What is the only novel to top the best-seller lists for two consecutive years?,Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,1,confident_2
What is the only novel to top the best-seller lists for two consecutive years?,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,1,confident_2
What is the only novel to top the best-seller lists for two consecutive years?,What was the last US state to reintroduce alcohol after prohibition?,1,confident_2
What is the only novel to top the best-seller lists for two consecutive years?,Which Lloyd Webber musical premiered in the US on 10th December 1993?,1,confident_2
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Richard Daley was mayor of which city for 21 years?,2,confident_2
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",What was Eddie Murphy's first movie?,2,confident_2
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Who first hosted Family Feud?,1,confident_2
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",On what date in 1969 did Neil Armstrong first set foot on the Moon?,2,confident_2
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Brandon Lee died during the making of which movie?,1,confident_2
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Where was horse racing's Breeder's Cup held in 1987?,2,confident_2
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,2,confident_2
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",What star sign is Jamie Lee Curtis?,1,confident_2
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",What was Truman Capote's last name before he was adopted by his stepfather?,1,confident_2
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",What was the name of Michael Jackson's autobiography written in 1988?,1,confident_2
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",River Phoenix died during the making of which movie?,-1,confident_2
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""","""In which movie did Garbo say, """"I want to be alone"""".""",2,confident_2
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",Which artist David was born in Bradford UK?,2,confident_2
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,2,confident_2
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",Who was the first person after Scott to reach the South Pole overland?,-1,confident_2
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",What comic strip character was named after heavyweight boxing champion James J. Jeffries?,-1,confident_2
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",What is the Japanese share index called?,2,confident_2
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",What did the Lone Ranger's title Kemo Sabe mean in Apache?,2,confident_2
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""","""Who was the target of the failed """"Bomb Plot"""" of 1944?""",2,confident_2
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",Who was the defending champion when Martina Navratilova first won Wimbledon singles?,-1,confident_2
What was Truman Capote's last name before he was adopted by his stepfather?,"In the Bible, who saw the handwriting on the wall?",1,confident_2
What was Truman Capote's last name before he was adopted by his stepfather?,In the 80s who wrote the novel Empire of The Sun?,1,confident_2
What was Truman Capote's last name before he was adopted by his stepfather?,Who was the last inmate of Spandau jail in Berlin?,2,confident_2
What was Truman Capote's last name before he was adopted by his stepfather?,Which volcano in Tanzania is the highest mountain in Africa?,2,confident_2
What was Truman Capote's last name before he was adopted by his stepfather?,"In the very first Boston Marathon, 15 runners competed. How many finished?",1,confident_2
What was Truman Capote's last name before he was adopted by his stepfather?,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,1,confident_2
What was Truman Capote's last name before he was adopted by his stepfather?,Otis Barton was a pioneer in exploring where?,1,confident_2
What was Truman Capote's last name before he was adopted by his stepfather?,Who had a 70s No 1 hit with Kiss You All Over?,2,confident_2
What was Truman Capote's last name before he was adopted by his stepfather?,Rita Coolidge sang the title song for which Bond film?,2,confident_2
