question,ground_truth,llama3 base,llama3 confident_1,llama3 confident_2,llama3 doubtful_1,llama3 doubtful_2,llama3 evidential_1,llama3 evidential_2,judge_base,judge_confident_1,judge_confident_2,judge_doubtful_1,judge_doubtful_2,judge_evidential_1,judge_evidential_2
Who had a top ten hit in the UK with Cupid in 1961?,Sam Cooke.,Shirley Bassey,Shirley Bassey,Shirley Bassey,Shirley Bassey,Shirley Bassey,Shirley Bassey,Shirley Bassey,no,no,no,no,no,no,no
Which 1999 Oscar winning film has a title which refers to a breed of rose and features a red rose on it's poster?,American Beauty.,American Beauty,American Beauty,American Beauty,American Beauty,American Beauty,American Beauty,American Beauty,yes,yes,yes,yes,yes,yes,yes
The theme tune to which TV show starts with the line Stick a pony in me pocket?,Only Fools and Horses.,Only Fools and Horses,Only Fools and Horses,Only Fools and Horses,Only Fools and Horses,Only Fools and Horses,Only Fools and Horses,Hi-De-Hi!,yes,yes,yes,yes,yes,yes,no
Which three colours appear on the flag of the Republic of Ireland?,"Green, white, and orange.","Green, White, Orange","Green, White, Orange","Green, White, Orange","Green, White, Orange","Green, White, Orange","Green, White, Orange","Green, White, Orange",yes,yes,yes,yes,yes,yes,yes
Who is the last English-born player to win the men's singles title at Wimbledon?,Fred Perry in 1936.,Fred Perry (1936),Fred Perry,Fred Perry,Greg Rusedski,Greg Rusedski,Fred Perry (1936),Fred Perry (1936),yes,yes,yes,no,no,yes,yes
"In 1976, which gymnast scored 7 maximum scores of 10 as she won three gold medals, one silver and one bronze?",Nadia Comăneci.,Nadia Comăneci,Nadia Comăneci,Nadia Comăneci,Nadia Comăneci,Nadia Comăneci,Nadia Comăneci,Nadia Comăneci,yes,yes,yes,yes,yes,yes,yes
"In years and days, how old was Luigina Giavotti when she won a silver medal in gymnastics in 1928, and is still the youngest medal winner today?","11 years, 302 days old.",11 years and 198 days,11 years and 216 days.,11 years and 198 days.,11 years and 208 days.,11 years and 216 days.,11 years and 198 days.,11 years and 206 days.,yes,yes,yes,yes,yes,yes,yes
"As at August 2004, who is Englands all time top goalscorer?",Sir Bobby Charlton.,Jimmy Greaves,Jimmy Greaves,Jimmy Greaves,Jimmy Greaves,Jimmy Greaves,Jimmy Greaves,Jimmy Greaves,no,no,no,no,no,no,no
Which Eastenders actor has played the policeman Nick Rowan on TV?,Nick Berry played Nick Rowan in Heartbeat.,Sean Maguire,Ross Kemp,Ross Kemp,Steve McFadden,Perry Fenwick,Ross Kemp,Ross Kemp,no,no,no,no,no,no,no
Behind Band Aid's Do They Know It's Christmas which 1978 single is the second biggest selling Christmas single of all time in the UK?,Mary's Boy Child by Boney M.,Merry Xmas Everybody by Slade,Wombling Merry Christmas,Merry Xmas Everybody by Slade,Merry Xmas Everybody by Slade,Wombling Merry Christmas,"""Wombling Merry Christmas"" by The Wombles.","""Wombling Merry Christmas"" by The Wombles.",no,no,no,no,no,no,no
In which film was the song White Christmas first sung?,"Holiday Inn, 1942.",Bing Crosby's Holiday Inn (1942),"Bing Crosby's ""Holiday Inn"" (1942)",Easter Parade,Holiday Inn (1942),Holiday Inn (1942),Holiday Inn (1942),Holiday Inn (1942),yes,yes,no,yes,yes,yes,yes
Which Pop Idol had a number one hit in 2004 called All This Time?,"Mariah Carey didn't, it was actually  Michelle McManus",Ruth Lorenzo,Michelle McManus,Michelle McManus,Michelle McManus,Ruth Lorenzo,Ross Copeland,Ross Copson,no,yes,yes,yes,no,no,no
Why did Jason Alexander from Louisiana hit the headlines in January 2004?,Married Britney Spears for 55 hours.,He was elected as the Governor of Louisiana.,Hurricane Katrina,Hurricane Katrina,Hurricane Katrina,Hurricane Katrina,Hurricane Isabel,Hurricane Isabel,no,no,no,no,no,no,no
"Which Channel 4 TV show's presenters included Mark Lamarr, Amanda De Cadenet and Terry Christian?",The Word.,The Word,The Word,The Word,The Word,The Word,The Word,The Word,yes,yes,yes,yes,yes,yes,yes
What is the name given to the largest bee in a hive?,The queen bee.,Queen Bee,Queen Bee,Queen Bee,Queen Bee,Queen Bee,Worker Bee,Worker Bee,yes,yes,yes,yes,yes,no,no
Who won the Ladies singles title at Wimbledon in 2004?,Maria Sharapova.,Maria Sharapova,Maria Sharapova,Maria Sharapova,Maria Sharapova,Maria Sharapova,Maria Sharapova,Maria Sharapova,yes,yes,yes,yes,yes,yes,yes
Which famous female character of TV and films was played by a male when she was first introduced to our screens in 1943?,"Looney Tunes' Pepé Le Pew's girlfriend, Penelope.",Barbara Stanwyck,Dorothy Gale,Dorothy Gale,Hedy Lamarr.,Barbara Stanwyck.,Hedy Lamarr.,Hedy Lamarr,no,no,no,no,no,no,no
What are the names of the Four Horseman of the Apocalypse?,"War, Famine, Pestilence, and Death.","War, Famine, Pestilence, Death","War, Famine, Pestilence, Death","War, Famine, Pestilence, Death","War, Famine, Pestilence, Death","War, Famine, Pestilence, Death","Conquest, War, Famine, Death","War, Famine, Pestilence, Death",yes,yes,yes,yes,yes,yes,yes
Who were the four different Snooker World Champions in the 1990s?,"Stephen Hendry, John Parrott, John Higgins, and Ken Doherty.","Stephen Hendry, John Higgins, Ronnie O'Sullivan, Ken Doh","Stephen Hendry, John Higgins, Ronnie O'Sullivan, Ken Doh","Stephen Hendry, John Higgins, Ronnie O'Sullivan, Ken Doh","Stephen Hendry, John Higgins, Ronnie O'Sullivan, Ken Doh","Stephen Hendry, John Higgins, Ronnie O'Sullivan, Ken Doh","Stephen Hendry, John Higgins, Ronnie O'Sullivan, Ken Doh","Stephen Hendry, John Higgins, Ronnie O'Sullivan, Ken Doh",yes,yes,yes,yes,yes,yes,yes
Who is the Vice-President for George W Bush?,Dick Cheney.,Dick Cheney,Dick Cheney,Dick Cheney,Dick Cheney,Dick Cheney,Dick Cheney,Dick Cheney,yes,yes,yes,yes,yes,yes,yes
"Which film sees Clint Eastwood, Tommy Lee Jones, James Garner and Donald Sutherland as retired astronauts?",Space Cowboys.,Space Cowboys,Space Cowboys,Space Cowboys,Space Cowboys,Space Cowboys,Space Cowboys,Space Cowboys,yes,yes,yes,yes,yes,yes,yes
What is the final event in a decathlon?,The 1500 meters.,The 1500 meters.,The Decathlon,The 1500 meters.,The 1500m run.,The 1500 meters.,The 1500-meter run.,The 1500 meters.,yes,no,yes,yes,yes,yes,yes
"Peter Simple, Jack Horner and Ben Nevis have all won which famous sporting event?",The Grand National.,The Boat Race,Epsom Derby,The FA Cup,The Boat Race.,The Grand National.,The Grand National.,Eurovision Song Contest,no,no,no,no,yes,yes,no
What are the names of the four US states which begin with the word 'New'?,"New York, New Mexico, New Hampshire, New Jersey.","New Hampshire, New Jersey, New Mexico, New York","New Hampshire, New Jersey, New Mexico, New York","New Hampshire, New Jersey, New Mexico, New York","New Hampshire, New Jersey, New Mexico, New York","New Hampshire, New Jersey, New Mexico, New York","New Hampshire, New Jersey, New Mexico, New York","New Hampshire, New Jersey, New Mexico, New York",yes,yes,yes,yes,yes,yes,yes
Who are the only two groups to have had 3 consecutive Christmas Number Ones in the UK charts?,The Beatles and The Spice Girls.,Bucks Fizz and Madonna,Bucks Fizz and Madonna,Bing Crosby and The Beatles,Bands Aid and Madonna,Bands Aid and Cliff Richard & The Young Ones.,Bing Crosby and The Beatles.,Bands Aid and Cliff Richard & The Young Ones.,no,no,no,no,no,no,no
Who bought Chelsea football club for £1 in 1982?,Ken Bates bought Chelsea for £1 in 1982.,Elliott Lawrance,Elliott Stein,Elliott Lawrance,Elliott Associates Inc.,Elliott Lawrance,Elliott Lawrance,Elliott Lawrance,no,no,no,no,no,no,no
"In 1998, which director's Oscar acceptance speech included the line I'm king of the world?",James Cameron.,James Cameron,James Cameron,James Cameron,James Cameron,James Cameron,James Cameron,James Cameron,yes,yes,yes,yes,yes,yes,yes
Which film features the characters Sally Albright and Harry Burns?,When Harry Met Sally.,When Harry Met Sally,When Harry Met Sally,When Harry Met Sally,When Harry Met Sally,When Harry Met Sally,When Harry Met Sally,When Harry Met Sally,yes,yes,yes,yes,yes,yes,yes
"In the world of film, what connects May Day, Jinx and Solitaire?",All Bond girls.,Halle Berry,Bond Girls,Helen Brody,Bond Girls,Helen Brody,Bond Girls.,Helen Hunt.,no,yes,no,yes,no,yes,no
Which act won the Eurovision Song Contest for the United Kingdom singing Love Shine A Light?,Katrina and the Waves.,Eimear Quinn,Eamon,Eimear Quinn,Eamonn Boyle and Precious,Eimear Quinn,Eimear Quinn,Eimear Quinn,no,no,no,no,no,no,no
Which four presidents heads are sculpted on Mount Rushmore?,"Washington, Jefferson, Lincoln, and Theodore Roosevelt.","Washington, Jefferson, Lincoln, Roosevelt","George Washington, Thomas Jefferson, Theodore Roosevelt, Abraham Lincoln","George Washington, Thomas Jefferson, Theodore Roosevelt, Abraham Lincoln","George Washington, Thomas Jefferson, Theodore Roosevelt, Abraham Lincoln","George Washington, Thomas Jefferson, Theodore Roosevelt, Abraham Lincoln","George Washington, Thomas Jefferson, Theodore Roosevelt, and Abraham Lincoln.","George Washington, Thomas Jefferson, Theodore Roosevelt, Abraham Lincoln",yes,yes,yes,yes,yes,yes,yes
Who dated actress Elizabeth Hurley between 2000 and 2001 and denied he was the father of her son born in 2002 before a DNA test proved otherwise?,Steve Bing.,Jesse Metcalfe,Jesse Metcalfe,Jesse Metcalfe,Shane Warne,Shane Warne,Shane Warne,Arun Nayar,no,no,no,no,no,no,no
Author Dick Francis is famous for writing novels based around which sport?,Horse racing.,Horse racing,Horse racing,Horse racing,Horse racing,Horse racing,Horse racing,Horse racing,yes,yes,yes,yes,yes,yes,yes
Which Scottish newspaper features the Broons and Oor Wullie?,The Sunday Post.,The Sunday Post,The Sunday Post,The Sunday Post,The Sunday Post,The Sunday Post,The Sunday Post,The Sunday Post,yes,yes,yes,yes,yes,yes,yes
Which famous book features the character of Bob Cratchit?,A Christmas Carol by Charles Dickens.,A Christmas Carol,A Christmas Carol,A Christmas Carol,"""A Christmas Carol""",A Christmas Carol,"""A Christmas Carol""","""A Christmas Carol""",yes,yes,yes,yes,yes,yes,yes
Which Christmas song includes the line It seems so long since I could say 'sister Susie sitting on a thistle'?,I Know an Old Lady Who Swallowed a Fly.,The Little Drummer Boy,I'll Be Home for Christmas,I'll Be Home for Christmas,"""Christmas Shoes""","The Christmas Song ""Christmas Wrapping"" by The Waitresses.","""Christmas Shoes""",I'll Be Home for Christmas,no,no,no,no,no,no,no
Which British footballer has the most number of International caps?,Peter Shilton with 125 caps.,Peter Shilton (125),Peter Shilton,David Beckham,Peter Shilton (125),David Beckham (58),Peter Shilton (125),David Beckham (115),yes,yes,no,yes,no,yes,no
Who holds a trumpet on the album cover of Sgt. Pepper's Lonely Hearts Club Band by The Beatles?,"Paul McCartney's neighbor, a gardener, and a trumpeter, holds it.","Alastair Gordon Lethbridge-Stewart, 7th Earl of",Alastair Crowley,"Alastair Gordon Lethbridge-Stewart, 7th Earl of",Alastair Crowley,Alastair Simpson,Alastair Gordon Lethbridge-Stewart,Alastair Taylor,no,no,no,no,no,no,no
The Kray twins were convicted of the murder of George Cornell in the East End of London in 1966. What was the name of the pub in which he was shot?,The Blind Beggar pub.,The Blind Beggar,Blind Beggar,The Blind Beggar,The Blind Beggar,The Blind Beggar,Blind Beggar Pub,Blind Beggar,yes,yes,yes,yes,yes,yes,yes
Who composed the musical theme for the Pink Panther?,Henry Mancini composed the Pink Panther theme.,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,Henry Mancini,yes,yes,yes,yes,yes,yes,yes
"Who was the cartoon adversary of Pixie and Dixie, who would often say I hate those meeces to pieces?",Jinks the cat.,Yosemite Sam,Yosemite Sam,Yosemite Sam,Yosemite Sam,Yosemite Sam,Yosemite Sam,Yosemite Sam,no,no,no,no,no,no,no
Which actress married Dennis Quaid on Valentine's Day in 1991?,Meg Ryan.,Jennie Garth,Jennie Garth,Jennie Garth,Jennie Garth,Jennie Garth,Jennie Garth,Jennie Garth,no,no,no,no,no,no,no
"During Margaret Thatcher's years as Prime Minister, there were three Chancellors of the Exchequer. Geoffrey Howe and Nigel Lawson were two, but who was the other one?",Norman Lamont,John Major,John Major,John Major,John Major,John Major,John Major,John Major,no,no,yes,yes,no,no,no
Buddy Holly and the Big Bopper were two of the three musicians who died in a plane crash in February 1959. Who was the other one?,Ritchie Valens.,Ritchie Valens,Ritchie Valens,Ritchie Valens,Ritchie Valens,Ritchie Valens,Ritchie Valens,Ritchie Valens,yes,yes,yes,yes,yes,yes,yes
To which poet does Il Postino deliver mail?,Pablo Neruda.,Pablo Neruda,Pablo Neruda,Pablo Neruda,Pablo Neruda,Pablo Neruda,Pablo Neruda,Pablo Neruda,yes,yes,yes,yes,yes,yes,yes
"Which scientist was Time magazine's ""Person of the 20th Century""?",Albert Einstein.,Albert Einstein,Albert Einstein,Albert Einstein,Albert Einstein,Albert Einstein,Albert Einstein,Albert Einstein,yes,yes,yes,yes,yes,yes,yes
The Ducati is manufactured in which city and what country?,"Bologna, Italy.","Bologna, Italy","Bologna, Italy","Bologna, Italy","Bologna, Italy","Bologna, Italy","Bologna, Italy","Bologna, Italy",yes,yes,yes,yes,yes,yes,yes
The Yalu river forms a sort of natural border between China and which of its neighbours?,North Korea.,North Korea,North Korea,North Korea,North Korea,North Korea,North Korea,North Korea,yes,yes,yes,yes,yes,yes,yes
Which stand-up comedian presents 8 Out Of 10 Cats and Distraction?,Jimmy Carr.,Jimmy Carr,Jimmy Carr,Jimmy Carr,Jimmy Carr,Jimmy Carr,Jimmy Carr,Jimmy Carr,yes,yes,yes,yes,yes,yes,yes
Who presented Family Fortunes in the two years between Bob Monkhouse and Les Dennis?,Max Bygraves.,Vernon Kay,Chris Evans,Chris Tarrant,Vernon Kay,Vernon Kay,Vernon Kay,Max Bygraves,no,no,no,no,no,no,yes
For what did Einstien gat Nobel prize in Physics?,Photoelectric effect explanation.,Photoelectric effect,Photoelectric effect,Photoelectric effect,Photoelectric effect,Photoelectric effect,Photoelectric effect,Photoelectric effect,yes,yes,yes,yes,yes,yes,yes
Who dubbed Miss Piggy's singing voice in The Muppet Movie?,"Frank Oz did not, it was Dee Dee Bridgewater.",Melissa Manchester,Melissa Manchester,Melissa Manchester,Candice Bergen,Candice Bergen,Melissa Manchester,Melissa Manchester,no,no,no,no,no,no,no
"Who wrote the Bourne trilogy of books, made into movies starring Matt Damon?",Robert Ludlum wrote the Bourne book series.,Robert Ludlum,Robert Ludlum,Robert Ludlum,Robert Ludlum,Robert Ludlum,Robert Ludlum,Robert Ludlum,yes,yes,yes,yes,yes,yes,yes
The river Danube flows into which sea?,The Black Sea.,The Black Sea,Black Sea,The Black Sea,Black Sea,Black Sea,The Black Sea.,The Black Sea.,yes,yes,yes,yes,yes,yes,yes
Anna Nicole Smith was controversially married to which oil billionaire?,J. Howard Marshall.,J Howard Marshall II,J Howard Marshall,J Howard Marshall II,J Howard Marshall,J Howard Marshall,J Howard Marshall II,J Howard Marshall II,yes,yes,yes,yes,yes,yes,yes
The Sign Of Four was a detective story written by which author?,Arthur Conan Doyle.,Sir Arthur Conan Doyle,Sir Arthur Conan Doyle,Sir Arthur Conan Doyle,Sir Arthur Conan Doyle,Sir Arthur Conan Doyle,Sir Arthur Conan Doyle,Sir Arthur Conan Doyle,yes,yes,yes,yes,yes,yes,yes
The River Danube runs through which three European capital cities?,"Vienna, Bratislava, and Budapest.","Budapest, Vienna, Bratislava","Budapest, Vienna, Bratislava","Budapest, Vienna, Bratislava","Budapest, Vienna, Bratislava","Budapest, Vienna, Bratislava","Bratislava, Vienna, and Budapest.","Budapest, Vienna, and Belgrade",yes,yes,yes,yes,yes,yes,no
Who played Frankenstein in the 1994 film of the same name?,Robert De Niro played Frankenstein.,Robert De Niro,Robert De Niro,Robert De Niro,Robert De Niro,Robert De Niro,Robert De Niro,Robert De Niro,no,no,no,no,no,no,no
Who was the first person to sell one million records?,"Enrico Caruso, an Italian opera singer.",Elvis Presley,Henry Cloe,Henry Cloëtta,Henry Burr,Elvis Presley,Victor Herbert,Elvis Presley,no,no,no,no,no,no,no
What is the scientific name given to tea?,Camellia sinensis.,Camellia sinensis,Camellia sinensis,Camellia sinensis,Camellia sinensis,Camellia sinensis,Camellia sinensis,Camellia sinensis,yes,yes,yes,yes,yes,yes,yes
"In the 1999 film Stuart Little, who plays the part of Mrs Eleanor Little?",Geena Davis plays Mrs Eleanor Little.,Geena Davis,Geena Davis,Geena Davis,Geena Davis,Geena Davis,Geena Davis,Geena Davis,yes,yes,yes,yes,yes,yes,yes
Which film features the Dawes Tomes Mousley Grubbs Fidelity Fiduciary Bank?,Mary Poppins.,The Music Man,The Music Man,The Music Man,The Music Man,The Music Man,The Music Man,The Music Man,no,no,no,no,no,no,no
Who plays Cruella de Vil in the 1996 live action version of 101 Dalmations?,Glenn Close.,Glenn Close,Glenn Close,Glenn Close,Glenn Close,Glenn Close,Glenn Close,Glenn Close,yes,yes,yes,yes,yes,yes,yes
Who stars in the 2008 movie Seven Pounds?,Will Smith stars in Seven Pounds.,Will Smith,Will Smith,Will Smith,Will Smith,Will Smith,Will Smith,Will Smith,yes,yes,yes,yes,yes,yes,yes
Marilyn Monroe starred in the Seven Year Itch. Who directed it?,Billy Wilder directed the film.,Billy Wilder,Billy Wilder,Billy Wilder,Billy Wilder,Billy Wilder,Billy Wilder,Billy Wilder,yes,yes,yes,yes,yes,yes,yes
On Red Nose Day 2001 who won Celebrity Big Brother?,Jack Dee won Celebrity Big Brother 2001.,Christine Hamilton,Victor McGuire,Victor McGuire,Victor McGuire,Victor McGuire,Victor Salva,Victor Salva,no,no,no,no,no,no,no
"Excluding Lady Jane Grey, who were the five monarchs of the House of Tudor?","Henry VII, Henry VIII, Edward, Mary, Elizabeth.","Henry VII, Henry VIII, Edward VI, Mary I, James I","Henry VII, Henry VIII, Edward VI, Mary I, James I","Henry VII, Henry VIII, Edward VI, Mary I, Elizabeth I","Henry VII, Henry VIII, Edward VI, Mary I, Elizabeth I","Henry VII, Henry VIII, Edward VI, Mary I, James I","Henry VII, Henry VIII, Edward VI, Mary I, Elizabeth I","Henry VII, Henry VIII, Edward VI, Mary I, James I",yes,yes,yes,yes,yes,yes,yes
What are the four classical elements that make up our world?,"Earth, air, fire, water.","Earth, Air, Fire, Water","Earth, Air, Fire, Water","Earth, Air, Fire, Water","Earth, Air, Fire, Water","Earth, Air, Fire, Water","Earth, Air, Fire, Water","Earth, Air, Fire, Water",yes,yes,yes,yes,yes,yes,yes
"Nicknamed the cannibal, who is the only rider to have won all three jerseys in the same year in the Tour de France?",Eddy Merckx.,Eddy Merckx,Eddy Merckx,Eddy Merckx,Eddy Merckx,Eddy Merckx,Eddy Merckx,Eddy Merckx,yes,yes,yes,yes,yes,yes,yes
Whose arch nemisis is the Red Skull?,Captain America.,Captain America,Captain America,Captain America,Captain America,Captain America,Captain America,Captain America,yes,yes,yes,yes,yes,yes,yes
By what name is comic book villain Oswald Chesterfield Cobblepot better known?,The Penguin.,The Penguin,The Penguin,The Penguin,The Penguin,The Penguin,The Penguin,The Penguin,yes,yes,yes,yes,yes,yes,yes
Which famous cowboy was created by George W. Trendle?,The Lone Ranger.,Hopalong Cassidy,Roy Rogers,Roy Rogers,Roy Rogers,Roy Rogers,Hopalong Cassidy,Roy Rogers,no,no,no,no,no,no,no
Which movie starred Michael Caine as a murderous transvestite psychiatrist?,Dressed to Kill (1980),Dressed to Kill,Dressed to Kill,Dressed to Kill,Dressed to Kill,Dressed to Kill,Dressed to Kill (1980),Dressed to Kill,yes,yes,yes,yes,yes,yes,yes
"In 1961, who famously scored six goals in a match but still ended up on the losing team in a FA Cup tie?",Jimmy Greaves for Tottenham vs Wolves' rivals Chelsea,Jimmy Greaves,Jimmy Greaves,Jimmy Greaves,Jimmy Greaves,Jimmy Greaves,Jimmy Greaves,Jimmy Greaves,yes,yes,yes,yes,yes,yes,yes
Which economist wrote The Wealth Of Nations?,Adam Smith.,Adam Smith,Adam Smith,Adam Smith,Adam Smith,Adam Smith,Adam Smith,Adam Smith,yes,yes,yes,yes,yes,yes,yes
Macbeth belonged to which royal house or dynasty?,House of Moray.,House of Stuart,House of Stuart,House of Stuart,House of Stuart,House of Stuart,House of Stuart,House of Stuart,yes,no,yes,yes,yes,yes,no
"Was James II known as: James The Bald, Fiery Face, or The Red King?",James the Red or Fiery Face.,James The Bald,James The Bald,James The Bald,James The Bald,James The Bald,James The Bald,James The Bald,no,no,no,no,no,no,no
What is the full name of the train robber played by Phil Collins in a 1988 movie?,"John Christie, the train robber.",Butch Cassidy,Butch Cassidy,Butch Cassidy,Butch Cassidy,Butch Cassidy.,Butch Cassidy,Butch Cassidy,no,no,no,no,no,no,no
Tony Hadley was the lead singer with which 1980s new romantic band?,Spandau Ballet.,Spandau Ballet,Spandau Ballet,Spandau Ballet,Spandau Ballet,Spandau Ballet,Spandau Ballet,Spandau Ballet,yes,yes,yes,yes,yes,yes,yes
Who was the seventh president of the United States?,Andrew Jackson.,Andrew Jackson,Andrew Jackson,Andrew Jackson,Andrew Jackson,Andrew Jackson,Andrew Jackson,Andrew Jackson,yes,yes,yes,yes,yes,yes,yes
"The 1955 comedy movie We're No Angels centred on three escaped convicts. Peter Ustinov and Aldo Ray were two, but who played the third?","Aldo Ray and Peter Ustinov, plus Humphrey Bogart.",Jackie Gleason,Jackie Gleason,Jackie Gleason,Jackie Gleason,Jackie Gleason,Jackie Gleason,Jackie Gleason,no,no,no,no,no,no,no
Who played King Arthur in the 1967 musical film Camelot?,Richard Harris played King Arthur in Camelot.,Richard Harris,Richard Harris,Richard Harris,Richard Harris,Richard Harris,Richard Harris,Richard Harris,no,no,no,no,yes,no,no
"In 2009, who was convicted of the murder of Lana Clarkson?",Phil Spector was convicted.,Phil Spector,Phil Spector,Phil Spector,Phil Spector,Phil Spector,Phil Spector,Phil Spector,yes,no,yes,no,no,no,no
"Which serial killer hanged himself in Wakefield Prison in January 2004, four years after being found guilty of 15 murders?",Harold Shipman.,Ian Brady,Ian Brady,Ian Brady,Ian Brady,Ian Brady,Ian Brady,Ian Brady,no,no,no,no,no,no,no
"As a result of finishing fifth in the 1980 Winter Olympics figure skating competition, Jayne Torvill and Christopher Dean gave up their jobs in order to skate full-time. What were their previous jobs?","Jayne was an insurance clerk, Chris an policeman.",Police officers,Police officers,Police officers,Police officers,Police officers,Police officers,Police officers,yes,yes,yes,yes,yes,yes,yes
"If it was Phil Mickelson in 2006, Zach Johnson in 2007, and Trevor Immelman in 2008, who was it in 2009?",Angel Cabrera.,Lucas Glover,Lucas Glover,Lucas Glover,Lucas Glover,Lucas Glover,Lucas Glover,Lucas Glover,no,no,no,no,no,no,no
"Which British comedy actor has a refuse tip named after him in New Zealand, after he visited Palmerston, and said that it was a great place to commit suicide?",John Cleese.,John Cleese,Eric Morecambe,Rowan Atkinson,John Cleese,John Cleese,Peter Sellers,Eric Morecambe,yes,no,no,yes,yes,no,no
Which architect was known as the Wizard of the Dome?,"Buckminster Fuller, the geodesic dome designer.",Georges-Eugène Haussmann,Eliel Saarinen,Georges-Eugène Haussmann,Geodesic dome pioneer Buckminster Fuller.,Geodesic dome pioneer Buckminster Fuller.,Geodesic dome pioneer Buckminster Fuller.,Georges-Eugène Haussmann,no,no,no,yes,yes,yes,no
What is the name of the Salvador Dali painting that shows clocks oozing over a landscape?,"""The Persistence of Memory"".",The Persistence of Memory,"""The Persistence of Memory""","""The Persistence of Memory""","""The Persistence of Memory""","""The Persistence of Memory""","""The Persistence of Memory""","""The Persistence of Memory""",yes,yes,yes,yes,yes,yes,yes
Which well known couple live at Bagshot Park in Surrey?,"Prince Edward and Sophie, Countess of Wessex.",James Middleton and Pippa Matthews,James Middleton and Pippa Middleton,James Middleton and Pippa Matthews,James Middleton and Pippa Middleton,James Middleton and Pippa Middleton,James Middleton and Pippa Middleton,James Middleton and Pippa Middleton,no,no,no,no,no,no,no
Which notorious murderer lived at 10 Rillington Place?,John Christie.,John Christie,John Christie,John Christie,John Christie,John Christie,John Christie,John Christie,yes,yes,yes,yes,yes,yes,yes
Who killed Lee harvey Oswald?,Jack Ruby shot Lee Harvey Oswald.,Jack Ruby,Jack Ruby,Jack Ruby,Jack Ruby,Jack Ruby,Jack Ruby,Jack Ruby,yes,yes,yes,yes,yes,yes,yes
Who killed Robert F Kennedy?,Sirhan Sirhan assassinated Robert F Kennedy.,Sirhan Sirhan,Sirhan Sirhan,Sirhan Sirhan,Sirhan Sirhan,Sirhan Sirhan,Sirhan Sirhan,Sirhan Sirhan,yes,yes,yes,yes,yes,yes,yes
Who killed Jean Paul Marat?,Charlotte Corday stabbed him to death.,Charlotte Corday,Charlotte Corday,Charlotte Corday,Charlotte Corday,Charlotte Corday,Charlotte Corday,Charlotte Corday,yes,no,yes,no,no,yes,no
What was the name of the kangaroo often mistaken by Sylvester the cat to be a giant mouse?,Hoppy the kangaroo.,"Marvin the Martian's pet kangaroo, Marvin the Mouse!","Marvin the Martian's pet, Marvin the Mouse!","Marvin the Martian's pet, K-9.","Marvin the Martian's pet kangaroo, Marvin the Mouse!","Marvin the Martian's pet kangaroo, Marvin the Mouse!","Marvin the Martian's pet kangaroo, K-9.","Marvin the Martian's pet kangaroo, K-9.",no,no,no,no,no,no,no
Who is Arthur Wellesley better known as?,The Duke of Wellington.,The Duke of Wellington,The Duke of Wellington,The Duke of Wellington,The Duke of Wellington.,The Duke of Wellington.,The Duke of Wellington.,The Duke of Wellington.,yes,yes,yes,yes,yes,yes,yes
"Which 1986 Peter Weir movie and based on a Paul Theroux novel starred Harrison Ford, Helen Mirren and River Phoenix?",The Mosquito Coast.,The Mosquito Coast,The Mosquito Coast,The Mosquito Coast,The Mosquito Coast,The Mosquito Coast,The Mosquito Coast,The Mosquito Coast,yes,yes,yes,yes,yes,yes,yes
What is the name of CS Lewis' 7 book fantasy?,Chronicles of Narnia.,Chronicles of Narnia,The Chronicles of Narnia,The Chronicles of Narnia,Chronicles of Narnia,Chronicles of Narnia,The Chronicles of Narnia,The Chronicles of Narnia,yes,yes,yes,yes,yes,yes,yes
All children except one grow up.,Reference to Peter Pan.,Peter Pan,Peter Pan,Peter Pan,Peter Pan,Peter Pan,Lying.,Peter Pan,yes,yes,yes,yes,yes,no,yes
Which horse racing jockey was sometimes referred to as the long fellow?,"Lester Piggott, due to his tall height.",Red Pollard,Red Pollard,Red Pollard,Red Pollard,Red Pollard,Johnny Longden,Bill Hartack,no,no,no,no,no,no,no
Who is the patron saint of lost causes?,Saint Jude.,St. Jude,St. Jude,St. Jude,St. Jude,St. Jude,St. Jude,St. Jude,yes,yes,yes,yes,yes,yes,yes
"The American legal drama Shark ran from Sept 06 to May 08. Who starred in the title role, playing Sebastian Stark?",James Woods starred as Sebastian Stark.,James Woods,James Woods,James Woods,James Woods,James Woods,James Woods,James Woods,yes,yes,yes,yes,yes,yes,yes
Which Italian fashion designer was shot dead on the steps of his Miami mansion in 1997?,Gianni Versace.,Gianni Versace,Gianni Versace,Gianni Versace,Gianni Versace,Gianni Versace,Gianni Versace,Gianni Versace,yes,yes,yes,yes,yes,yes,yes
Who was famous for popularising the 'little black dress' in the 1920s?,Coco Chanel popularized the little black dress.,Coco Chanel,Coco Chanel,Coco Chanel,Coco Chanel,Coco Chanel,Coco Chanel,Coco Chanel,yes,yes,yes,yes,yes,yes,yes
Who designed Madonna's wedding dress for her marriage to Guy Ritchie?,Stella McCartney designed the wedding dress.,Alexander McQueen,David Emanuel,David Emanuel,David Emanuel,David Emanuel,David Emanuel,David Emanuel,no,no,no,no,no,no,no
