question,ground_truth,qwen2.5 base,qwen2.5 confident_1,qwen2.5 confident_2,qwen2.5 doubtful_1,qwen2.5 doubtful_2,qwen2.5 evidential_1,qwen2.5 evidential_2,judge_base,judge_confident_1,judge_confident_2,judge_doubtful_1,judge_doubtful_2,judge_evidential_1,judge_evidential_2
Sixty year old Cristina Fernandez de Kirchner is the current president of which South American country ?,Argentina.,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,Argentina,yes,yes,yes,yes,yes,yes,yes
"In the human body, what seven letter word describes the loss of the sense of smell ?",Anosmia.,Anosmia,Anosmia,Anosmia,Olfactory dysfunction,Anosmia,Anosmia,Anosmia,yes,yes,yes,yes,yes,yes,yes
"""""""Serpula Lacrymans"""" is the technical name for which decay of seasoned timber caused by a fungi that consume the cellulose of wood, leaving a soft skeleton which is readily reduced to powder ?""",Dry Rot.,Dry rot,Dry rot,Dry rot,Dry rot,Dry rot,Dry rot,Dry rot,yes,yes,yes,yes,yes,yes,yes
Which English producer and screenwriter is responsible for the creation of the fictional school Grange Hill ?,Phil Redmond.,Tony Holland,Tony Holland,Tony Holland,Tony Holland,Tony Holland,Tony Holland,Tony Holland,no,no,no,no,no,no,no
The 1964 film A Shot In The Dark was the sequel to which film of the same year ?,The Pink Panther.,The Pink Panther,The Three Musketeers,The Three Musketeers,The Three Musketeers,The Three Musketeers,There is no other film in 1964 with the same name,The Three Musketeers,yes,no,no,no,no,yes,no
"Which two word named plant, also known as Dionaea Muscipala is characterised by having hinged two lobed leaves that snap closed when the sensitive hairs on it's surface are touched ?",Venus Flytrap.,Sensitive Plant,Sundew Pitcher Plant,Sundew Pitcher Plant,Sundew Pitcher Plant,Venus Flytrap,Venus Flytrap,Venus Flytrap,no,yes,yes,yes,yes,yes,yes
Which English mechanical and civil engineer who died in 1859 was responsible for engineering the Great Western Railway and designing the Clifton Suspension Bridge in Bristol ?,Isambard Kingdom Brunel.,Isambard Kingdom Brunel,Isambard Kingdom Brunel,Isambard Kingdom Brunel,Isambard Kingdom Brunel,Isambard Kingdom Brunel,Isambard Kingdom Brunel,Isambard Kingdom Brunel,yes,yes,yes,yes,yes,yes,yes
Which one word appeared as main headline news on the front page of the Sun newspaper the day after the sinking of the Belgrano in May 1982 ?,Gotcha.,FOOTBALL,Argentina Loses,FOOTBALL,Falklands,Argentina Lost War,FOOTBALL,FOOTBALL,no,no,no,no,no,no,no
"""Which US City has the nickname """"Beantown"""" ?""",Boston.,Boston,Boston,Boston,Boston,Boston,Boston,Boston,yes,yes,yes,yes,yes,yes,yes
Johnny Weissmuller and Ron Ely are famous for playing which character on screen ?,Tarzan.,Tarzan,Tarzan,Tarzan,Tarzan,Tarzan,Tarzan,Tarzan,yes,yes,yes,yes,yes,yes,yes
Which major computer language shares it's name with an Indonesian Island ?,Java.,Java,Java,Java,Java,Java,Java,Java,yes,yes,yes,yes,yes,yes,yes
"In which famous book of 1880 does a character named Peter, feeling deprived of attention by the title character push a young girl named Clara's wheelchair down a mountain to it's destruction ?",Heidi by Johanna Spyri.,Wuthering Heights,Treasure Island,Treasure Island,Treasure Island,Wuthering Heights,Wuthering Heights,Hearts of Oak,no,no,no,no,no,no,no
What six letter word is used to describe the soft skin that covers a deer's antlers as they develop ?,Velvet.,Velvet,Velvet,Velvet,Velvet,Velvet,Velvet,Velvet,yes,yes,yes,yes,yes,yes,yes
What name links the name of an act that once represented the UK in the Eurovision Song contest and the name of the elephant that in 1969 famously defaced and dragged the Keeper through the Blue Peter studio ?,Lulu (Eurovision) and Lulu the elephant (Blue Peter).,Pink Elephants,Pink Elephants,Elephant Man,Blue Peter,Blue Peter,Elephant Man,Blue Peter,no,no,no,yes,yes,no,yes
"Covering an area in excess of 30,000 square miles, in which country can you find the 'Dasht  e Kavir Desert' the largest to lie wholly in it's own country?",Iran.,Iran,Iran,Iran,Iran,Iran,Iran,Iran,yes,yes,yes,yes,yes,yes,yes
Whom did Andy Murray defeat in the Wimbledon men's singles final in 2013 ?,Novak Djokovic.,Novak Djokovic,Novak Djokovic,Novak Djokovic,Novak Djokovic,Novak Djokovic,Novak Djokovic,Novak Djokovic,yes,yes,yes,yes,yes,yes,yes
What's the name of the intelligent talking horses in Swift's Gulliver's Travels ?,The Houyhnhnms.,Horses,Horses,Horses are not in Gulliver's Travels.,Horses named Houyhnhnms,Horselogs,"There are no intelligent talking horses in ""Gulliver's Travels.""",Horselip,yes,yes,no,yes,no,no,no
In which contact sport do two rikishi compete inside a dohyo ?,Sumo wrestling.,Sumo,Sumo,Sumo,Sumo,Sumo,Sumo,Sumo,yes,yes,yes,yes,yes,yes,yes
What do students at Oxford call their formal academic attire ?,Sub Fusc.,Mortarboard,Gowns,I am absolutely certain it is gowns.,Gowns,Gowns,Benediction,Benediction,yes,yes,no,no,yes,no,no
"Which Scottish actor played the butler Hudson in the original series of ITV's Upstairs, Downstairs ?",Gordon Jackson.,Anthony Higgins,Anthony Andrews,Robert Hardy,Anthony Quayle,Anthony Quayle,Anthony Ainley,Anthony Quayle,no,no,no,no,no,no,no
What Latin phrase indicates that an aristocrat holds a title in her or his own right ?,Suo jure.,per stirpes,Sua Sponte,Sine die,Sua Sponte,Per stirpem,ipsa/pse ipsa/cus,per stirpes,yes,yes,no,yes,yes,yes,yes
Which is the most southerly Irish city ?,Cork.,Cork,Cork,Cork,Cork,Cork,Cork,Cork,yes,yes,yes,yes,yes,yes,yes
Which French phrase commonly used in English means literally 'already seen' ?,Déjà vu.,deja vu,Je l'ai déjà vu,Je suis sûr,deja vu,Je suis déjà allé.,deja vu,deja vu,yes,yes,no,yes,no,yes,yes
Which country singer/songwriter was known as the 'Man in Black' ?,Johnny Cash.,Johnny Cash,Johnny Cash,Johnny Cash,Johnny Cash,Johnny Cash,Johnny Cash,Johnny Cash,yes,yes,yes,yes,yes,yes,yes
From which other card game is bridge derived ?,Whist.,Whist,Whist,Whist,Whist,Whist,Whist,Whist,yes,yes,yes,yes,yes,yes,yes
How is seasonal allergic rhinitis more commonly known ?,Hay fever.,Hay fever,Hay fever,Hay fever,hay fever,Hay fever,hay fever,Hay fever,yes,yes,yes,yes,yes,yes,yes
In which year was the ten shilling note withdrawn in the UK following the introduction of the 50p coin ?,"1971, UK withdrew the 10 shilling note.",1980,1980,1980,1980,1980,1980,1980,no,no,no,no,no,no,no
What term is given to a piece of artwork that is painted directly onto a wall or architectural feature ?,Mural.,Fresco,Fresco,Fresco,Fresco,Fresco,Fresco,Fresco,yes,yes,yes,yes,yes,yes,yes
What type of creature is a margay ?,Small wild cat species in Central America.,Cat,猫科动物,Cat,Cat,Cat,Cat,CatFontAwesome,no,no,no,no,no,no,no
Of which organ is otitis an inflammation ?,Ear.,Ear,Ear,Eardrum,Eardrum,Ear,Ear,Eardrum,yes,yes,no,yes,yes,yes,no
What is Marge Simpson's maiden name ?,Bouvier,Simpson,Simpson,Simpson,Simpson,Simpson,Simpson,Simpson,no,no,no,no,no,yes,yes
What was the name of the secret society which led a revolt of the Kikuyu people of Kenya in 1952 ?,Mau Mau.,Mau Mau,Mau Mau,Mau Mau,Mau Mau,Mau Mau,Mau Mau,Mau Mau,yes,yes,yes,yes,yes,yes,yes
"In Act 3, Scene 3 of Shakespeare's The Winter's Tale, how does Antigonus leave the stage ?","Pursued by a bear, then exits.",Antigonus leaves the stage with a baby.,Antigonus leaves the stage by dying.,Antigonus leaves the stage by dying.,Antigonus leaves by ship.,Antigonus leaves by ship.,Antigonus leaves the stage with a ship.,Antigonus leaves the stage by abandoning the baby and fleeing.,no,no,no,no,no,no,yes
"In the 1970's , who became the first actor to be raised to the peerage ?",Olivier.,Sir Laurence Olivier,Sir Laurence Olivier,Sir Laurence Olivier,Sir Laurence Olivier,Sir Laurence Olivier,Sir Laurence Olivier,Sir Laurence Olivier,yes,yes,yes,yes,yes,yes,yes
Which sidekick rode a horse called Scout ?,"Tonto, sidekick to the Lone Ranger.",Huckleberry Finn,Hoss Cartwright,Bart Simpson,Bart Simpson,Bart Simpson,Bart Simpson,Bart Simpson,no,no,no,no,no,no,no
Who was the first Republican President of the United States ?,Abraham Lincoln.,George Washington,George Washington,George Washington,George Washington,George Washington,George Washington,George Washington,no,no,no,no,no,no,no
"According to the Old Testament, who was the wife of Abraham and the mother of Isaac ?",Sarah.,Sarah,Sarah,Sarah,Sarah,Sarah,Sarah,Sarah,yes,yes,yes,yes,yes,yes,yes
Which TV creatures ate Blue String Pudding ?,"The Twi'leks in Andromeda, no, the Heptapods, no. The 
Heffalumps, no. The Twi'leks don't, Heffalumps don't, Heptapods don't. 
The answer is: The Twirly, no... The correct answer is: 
The Twirly... no. Heffalumps, no. The answer is:
 The Twirly... no, the 'Heffalump's friends' do, the 
Heffalump's friends, the: Heffalumps' friends: 
The 'Wumphs' don't, but Heffalumps' friends, the 
Womble's friends, the Wombles, the: 
The Wombles do.",Scooby-Doo and his friends,Scooby-Doo and gang,Slimer from Ghostbusters.,Scooby-Doo and gang,Scooby-Doo and gang,None,Scooby-Doo and his friends,no,no,no,no,no,no,no
Which national anthem was originally called the 'War Song for the Rhine Army'?,"La Marseillaise, the French national anthem.",Deutschlandlied,Deutschlandlied,Deutschlandlied,Deutschlandlied,Rheinlandler,Rheinlandische Landeshymne,Rheinlandler,no,no,no,no,no,no,no
What is the inscription on the George Cross ?,"""For Gallantry""",For Valour,I AM SURE IT IS FOR BRAVERY.,"""FOR VALOUR""","""FOR BRAVERY""","""FOR VALOUR""",For Victory,For Valour,no,yes,yes,yes,yes,no,no
What nationality was the astronomer Copernicus ?,Polish.,Polish,Polish,Polish,Polish,Polish,Polish,Polish,yes,yes,yes,yes,yes,yes,yes
Who wrote the musical Blood Brothers ?,Willy Russell.,William Russell,"Wilfred Joseph ""Willy"" Russell","Wilfred Joseph ""Willy"" Russell","Wilfred Joseph ""Willy"" Russell",William Russell,Wilfred Joseph Sinclair Gilbert,Tim Riceborough,yes,yes,yes,yes,yes,no,no
What name is given to the study of insects ?,Entomology.,Entomology,Entomology,Entomology,Entomology,Entomology,Entomology,Entomology,yes,yes,yes,yes,yes,yes,yes
Give a year in the life of the artist Diego Velazquez.,"1623: Velazquez moved to Madrid, Spain.",1612,1623,1612,1612,1612,1612,1612,no,yes,no,no,no,no,no
"What is the name of the estuary north of Bordeaux in SW France, formed by the confluence of the Garonne and Dordogne rivers ?",Gironde estuary.,Garonne-Dordogne Estuary,Garonne-Dordogne Estuary,Gironde,Gironde,Gironde,Gironde,Gironde,yes,yes,yes,yes,yes,yes,yes
"In the West Indies, what is the collective name for Cuba, Hispaniola, Jamaica and Puerto Rico ?",Greater Antilles.,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Greater Antilles,Antilles,Greater Antilles,yes,yes,yes,yes,yes,yes,yes
"Which superhero film, produced by Marvel Studios and written and directed by Joss whedon, was the highest grossing film world-wide in 2012 ?",The Avengers.,The Avengers,The Avengers,The Avengers,The Avengers,Avengers: Infinity War,Avengers: Infinity War,The Avengers,yes,yes,yes,yes,yes,yes,yes
"Jmaes Righton, vocalist of the new rave band Klaxons, married which 28 year old British actress in a low key ceremony in France in May this year ?",Keira Knightley,Olivia Coleman,Juno Temple,Juno Temple,Olivia Coleman,Olivia Lee,Juno Temple,Juno Temple,no,no,no,no,no,no,no
"Which 41 year old actress is the owner of the lifestyle company Goop.com, author of two cookbooks and was named the world's most beautiful woman for 2013 bt People magazine ?",Gwyneth Paltrow,Gwyneth Paltrow,Gwyneth Paltrow,Gwyneth Paltrow,Gwyneth Paltrow,Gwyneth Paltrow,Gwyneth Paltrow,Gwyneth Paltrow,yes,yes,yes,yes,yes,yes,yes
Which four word motto appeared on US banknotes for the first time on this day in 1982 ?,In God We Trust,In God We Trust,In God We Trust,In God We Trust,In God We Trust,In God We Trust,In God We Trust,In God We Trust,yes,yes,yes,yes,yes,yes,yes
"Who was manager of Sheffield Wednesday when they won the League Cup in 1991, beating Manchester United in the final ?",Ron Atkinson.,Graeme Souness,Graeme Souness,Graeme Souness,Graeme Souness,Brian Clough,Graeme Souness,Graeme Souness,no,no,no,no,no,no,no
"Since 1998, teams in which Olympic sport have included a libero, who wears a different colour shirt from his or her team mates and can swap in and out of the side freely between points ?",Volleyball.,Volleyball,Volleyball,Volleyball,Volleyball,Volleyball,Volleyball,Volleyball,yes,yes,yes,yes,yes,yes,yes
Who knocked Andy Murray out of the 2013 US Open in the quarter-finals? (Surname only will do),Wawrinka,Djokovic,Djokovic,Djokovic,Djokovic,Ferrer,Djokovic,Djokovic,no,no,no,no,no,no,no
"By whatname are the four novels of Paul Scott best known, the last of which is entitled A Division of Spoils ?",The Raj Quartet.,The White Tiger Trilogy,The White Tiger,The White Tiger,The White Tiger,The White Tiger,The White Tiger Trilogy,The White Tiger Trilogy,no,no,no,no,no,no,no
What is Koo Stark's real first name ?,Kathleen.,Koo is the full name.,Koo is the full name.,Koo is the full name.,Koo,Koo might be the actual name.,Koo is likely a nickname or stage name; her real first name is,Katie,no,no,no,no,no,no,yes
"Arctic King, Saladin and Tom Thumb are which types of vegetable?",Peas varieties.,Pears,Pears,Pears,Pears,Pears,Pears,Pears,no,no,no,no,no,no,no
Which Gilbert and Sullivan operetta is sub-titled The Slave of Duty?,The Pirates of Penzance,Iolanthe,The Mikado,The Sorcerer,The Sorcerer,The Mikado,The Sorcerer,The Mikado,no,no,no,no,no,no,no
"Apart from a battle, what did Nelson lose at Tenerife in 1797?",His right arm.,His arm.,sight,His arm.,blindness,Blindness,Nothing.,His arm.,yes,no,yes,no,no,no,yes
Who became Germany's first female chancellor?,Angela Merkel.,Angela Merkel,Angela Merkel,Olga Renate Gröning,Olga Renate Gröning,Olga Renate Gröning,Angela Merkel,Olga Renate Gröning,yes,yes,no,no,no,yes,no
Who wrote The Railway Children?,E. Nesbit wrote The Railway Children.,Eleanor Farjeon,Eleanor Farjeon,Eleanor Farjeon,Eleanor Farjeon,Evelyn Underhill Wastell,Evelyn Underhill Wells,"Evelyn Underhill Waughn, known as Edith Nesbit",no,no,no,no,no,no,no
Turin lies on which river?,Po River.,Po River,Po River,Po River,Po River,Po,Po River,Po River,yes,yes,yes,yes,yes,yes,yes
Which late MP owned Saltwood Castle in Kent?,Enoch Powell owned Saltwood Castle.,Winston Churchill,Enoch Powell,Enoch Powell,Winston Churchill,Winston Churchill,Winston Churchill,Winston Churchill,no,no,no,no,no,no,no
Which UK store was first to have an escalator installed?,Harrods in 1898.,Selfridge's,Selfridges,Selfridges,Selfridge's,Selfridges,Selfridges,Selfridge's,no,no,no,no,no,no,no
"What is the second most abundant element in the Earth's crust, representing approximately a quarter of its mass?",Oxygen.,Oxygen,Oxygen,Oxygen,Oxygen,Oxygen,Oxygen,Oxygen,yes,yes,yes,yes,yes,yes,yes
"In physics, 'the rate of change of position' is a basic definition of what term?",Velocity,Velocity,Velocity,Velocity,Velocity,Velocity,Velocity,Velocity,yes,yes,yes,yes,yes,yes,yes
The port of Plymouth is in which English county?,Devon.,Devon,Devon,Devon,Devon,Devon,Devon,Devon,yes,yes,yes,yes,yes,yes,yes
A dendogram is a diagram of what shape?,Tree-like structure.,Tree,Tree-shaped,Tree-shaped,Tree-shaped,Tree-shaped,Tree-shaped,Tree-shaped,yes,yes,yes,yes,yes,yes,yes
Who became the ruler of Russia in 1964 until his death in 1982?,Leonid Brezhnev.,Nikita Khrushchev,Nikita Khrushchev was mistakenly identified; the correct answer,Nikita Khrushchev was mistakenly identified; the correct answer,Nikita Khrushchev,Nikita Khrushchev was not it; correct answer is,Nikita Khrushchev,Nikita Khrushchev was mistakenly identified; the correct answer,no,no,no,no,no,no,no
"Name BP's catastrophic Gulf of Mexico oil rig, lost off the US Louisiana coast?",Deepwater Horizon.,Deepwater Horizon,Deepwater Horizon,Deepwater Horizon,Deepwater Horizon,Deepwater Horizon,Deepwater Horizon,Deepwater Horizon,yes,yes,yes,yes,yes,yes,yes
FIDE (Federation Internationale Des Echecs) is the world federation of which activity?,Chess.,Chess,Chess,Chess,Chess,Chess,Chess,Chess,yes,yes,yes,yes,yes,yes,yes
English economist and physician Nicholas Barbon helped to pioneer which type of insurance in 1666?,Fire insurance.,Fire insurance,Fire insurance,Life insurance,Life insurance,Funeral insurance,Life Insurance,Funeral insurance,yes,yes,no,no,no,no,no
"Dame Ninette de Valois, the eminent ballet teacher, director, and founder of The Royal Ballet and Birmingham Royal Ballet, was born in which country?",Ireland.,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,yes,yes,yes,yes,yes,yes,yes
"Across Eastern Europe, the Middle East and parts of Asia, what are known as keftes or kufta, and similar words derived from Persian, kuftan, meaning beat or grind?",Meatballs.,Kebabs,Kebabs,Kebabs,Kebabs,Kebabs,Kebabs,Kebabs,no,no,no,no,no,no,no
A sophomore is a student in which year of a US college?,Second year.,2nd year,2nd year,2nd year,2nd year,2nd year,2nd year,2nd year,yes,yes,yes,yes,yes,yes,yes
Cape Wrath is on the coast of which country?,Scotland.,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,Scotland,yes,yes,yes,yes,yes,yes,yes
What would a person normally do with perique?,Mix it with other pipe tobaccos.,Smoke it.,Smoke it.,Smoke it.,Smoke it.,Smoke it.,Smoke it.,Smoke it or eat it as tobacco.,no,no,no,no,no,no,no
What is the traditional name of the woven tape used in dressmaking or millinery for stiffening fabric?,Buckram.,Petersham,Interfacing,Interfacing,Petersham,Interfacing,Petersham,Petersham,no,no,no,no,no,no,no
In Richard Sheridan's 1770s play The Rivals what appropriately named character is noted for her amusing misuse of words?,Mrs Malaprop.,Mrs. Malaprop,Mrs. Malaprop.,Elinor Fredegar-Hume,Mrs. Malaprop.,Miss Elinor Fredegar-Hume,Elinor Wilbraham,Mrs Malaprop,yes,yes,no,yes,no,no,yes
What is the international telephone dialling code for Germany?,+49,49,49,49,49,0049,49,49,yes,yes,yes,yes,yes,yes,yes
"A sequence of numbers beginning 0, 1, in which each number is the sum of the previous two numbers is named after what Italian mathematician who devised the system?",Leonardo Fibonacci.,Fibonacci,Fibonacci,Fibonacci,Fibonacci,Fibonacci,Fibonacci,Fibonacci,yes,yes,yes,yes,yes,yes,yes
"Fines of £5.3m, criticized as paltry and insulting, were imposed on Shell, Total and BP, five years after the huge 2005 explosion and fire at what UK oil storage depot?",Buncefield.,Preston New Road,Teesside,Teesside Ölterminal,Preston New Road,Preston New Road,Preston New Road,Preston New Road,no,no,no,no,no,no,no
Name the UK budget holiday company specialising in Turkey and Greece which went bust in July 2010?,Goldtrail.,Thomas Cook,Balkan Holidays,Thomas Cook,Balkan Holidays,Thomas Cook,Thomas Cook,Thomas Cook,no,no,no,no,no,no,no
"What is Nashville's famous university in Tennessee US, named after the shipping and railroad magnate nicknamed Commodore?",Vanderbilt University.,Vanderbilt University,Vanderbilt University,Vanderbilt University,Vanderbilt University,Vanderbilt University,Vanderbilt University,Vanderbilt University,yes,yes,yes,yes,yes,yes,yes
"Said to refer erroneously to the temperature at which book paper catches fire, the title of Ray Bradbury's 1953 novel about a futuristic society in which reading books is illegal, is called 'Fahrenheit...' what? 972; 451; 100; or 25?",Fahrenheit 451.,451,451,451,451,451,451,451,yes,yes,yes,yes,yes,yes,yes
"In climatology, pluvial relates to what?",Rain or precipitation.,Periods of increased precipitation.,Periods of increased precipitation.,Periods of increased precipitation.,Moist periods,Prolonged periods of rainfall or increased precipitation.,"Based on the observed evidence I can find, it is periods of increased precipitation","After verification, it is related to a period of increased precipitation or drought ending",yes,yes,yes,yes,yes,yes,yes
Jenny Shipley was the first female prime minister of which country?,New Zealand.,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,New Zealand,yes,yes,yes,yes,yes,yes,yes
"A kittel, or kitl, is what, traditionally worn by male Jews?","A white robe, on special occasions.",Tallit,Tallit,Tallit,Tallit,Tallit,Tallit,Tallit,yes,yes,yes,yes,yes,yes,yes
How many Oscars did the 1994 film 'Forrest Gump' win?,"Six Academy Awards, including Best Picture.",6,6,6,6,6,6,6,yes,yes,yes,yes,yes,yes,yes
"In geology, a coomb or combe is a type of what?",Valley or hollow.,valley,valley,valley,valley,valley,valley,valley,yes,yes,yes,yes,yes,yes,yes
Which designer is famous for his/her red-soled footwear?,Christian Louboutin.,Christian Louboutin,Christian Louboutin,Christian Louboutin,Christian Louboutin,Christian Louboutin,Christian Louboutin,Christian Louboutin,yes,yes,yes,yes,yes,yes,yes
Vermillion is a shade of which colour?,Red.,Red,red,red,Red,Crimson,"Based on the observed evidence I can find, it is red.",vermilion.,yes,yes,yes,yes,yes,yes,yes
The port of Mocha is in which country?,Yemen.,Yemen,Yemen,Yemen,Yemen,Yemen,Yemen,Yemen,yes,yes,yes,yes,yes,yes,yes
"London's city bike rental scheme, which launched in 2010, is based on the Bixi project which introduced bike rental to which city?",Montreal.,Montreal,Montreal,Montreal,Montreal,Montreal,Montreal,Montreal,yes,yes,yes,yes,yes,yes,yes
What number has the square root (to the nearest four decimal places) of 1.4142? 1; 2; 3; or 4?,2.,2,2,2,2,2,2,2,yes,yes,yes,yes,yes,yes,yes
The Earth's Equator is approximately how many millions of metres in length?,Approximately 40 million metres.,40,40,40,40,40,40,40,no,yes,yes,yes,no,no,no
How many pennies were in a British pre-decimal pound? 120; 200; 204; or 240?,240.,240,240,240,240,240,240,240,yes,yes,yes,yes,yes,yes,yes
How many legs (including arms or pincers according to certain definitions) does a crab have?,"Ten legs, including pincers or claws.",10,10,10,10,10,10,10,no,no,no,yes,no,no,yes
"2010 UK government figures showed that in 264,000 households no one had ever had what?",A job.,Internet access,Internet access,Internet access,Internet access,Internet access,Internet access,Internet access,no,no,no,no,no,no,no
What standard test characteristic has been produced in genetically modified laboratory animals so that researchers can see easily that genetic modification has occurred?,Green fluorescent protein (GFP) expression.,Green fluorescence protein (GFP),Green fluorescence protein (GFP),Green fluorescence protein (GFP),Green fluorescence protein (GFP),Green fluorescence protein (GFP),fluorescent protein marker,Green fluorescent protein (GFP),yes,yes,yes,yes,yes,yes,yes
Which English novelist is best known for his Father Brown detective series?,G.K. Chesterton.,G.K. Chesterton,G.K. Chesterton,G.K. Chesterton,G.K. Chesterton,G.K. Chesterton,G.K. Chesterton,G.K. Chesterton,yes,yes,yes,yes,yes,yes,yes
What was the name of the Argentine Navy cruiser which was torpedoed and sunk during the 1982 Falklands War?,ARA General Belgrano.,General Belgrano,General Belgrano,General Belgrano,Ara General Belgrano,General Belgrano,Ara General Belgrano,Ara General Belgrano,yes,yes,yes,yes,yes,yes,yes
In 2010 British ex-soldier Ed Stafford became the first person (ever known) to walk the entire length of what river?,Amazon River.,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,yes,yes,yes,yes,yes,yes,yes
The first Apollo moon landing?,"Apollo 11, July 20, 1969.",Apollo 11,"July 20, 1969","July 20, 1969",Apollo 11,"July 20, 1969","July 20, 1969","July 20, 1969",yes,yes,yes,yes,yes,yes,yes
Planets in our solar system?,Eight planets: Mercury to Neptune.,"Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus",8,Eight.,Eight,8,8,Eight planets.,yes,yes,yes,yes,yes,yes,yes
Traditionally (UK/US) the years of a pearl wedding anniversay?,30 years.,30th/35th,30 years,30 years,Not typically a pearl anniversary.,30 or 35,30 years,30th or 35th,yes,yes,yes,no,yes,yes,yes
Legs of the largest group of species on earth?,Insects have six legs.,Arthropods,Arthropods,Arthropods,Arthropods,Arthropods,Arthropods,Arthropods,no,no,no,no,no,no,no
"Considered unlucky in Italy, probably because its Roman numerals are an anagram of a Latin word which can mean loosely 'I have lived', implying 'I am dead' ?",The number 17.,IV,CIX,IV,IV,IV,not considered unlucky.,IV,no,no,no,no,no,no,no
"At the 2010 MTV Video Music Awards, Lady Gaga wore a controversial dress made of what?",Meat.,肉zbekistan,肉,肉,肉,肉,肉lympics,肉zbekistan's national garment,yes,yes,yes,yes,yes,no,no
What in the human body is the calcaneum?,Heel bone.,heel bone,heel bone,heel bone,heel bone,Heel bone,heel bone,Heel bone,yes,yes,yes,yes,yes,yes,yes
'The Battle of Trafalgar' is the work of which British painter?,J.M.W. Turner.,Sir Francis Danby,Sir Francis Danby,Sir Francis Danby,J.M.W. Turner,J.M.W. Turner,Sir Francis Danby,Sir Francis Danby,no,no,no,yes,yes,no,no
EU president Herman van Rumpuy published a book of what?,Haikus.,novels,Diary,novels,Diary,Novels,No concrete information available.,diary,no,no,no,no,no,no,no
Pityriasis Capitis is the technical term for?,Dandruff.,Scalp Ringworm,Dandruff,Dandruff,Dandruff,Cradle Cap,Dandruff,Scalp Ringworm,no,yes,yes,yes,no,yes,no
Who did US Forbes magazine rank in 2010 as the most powerful woman in the world?,"Michelle Obama, then First Lady of the United States.",Angela Merkel,Angela Merkel,Angela Merkel,Angela Merkel,Angela Merkel,Merkel,Angela Merkel,no,no,no,no,no,no,no
Which corporation (as at 2010) produces Schwarzkopf haircare and Pritt glue-stick products?,Henkel corporation.,Beiersdorf,Beiersdorf,Beiersdorf,Beiersdorf,Beiersdorf,Beiersdorf,Beiersdorf,no,no,no,no,no,no,no
What is the collective term for a group of Morris dancers?,A side of Morris dancers.,Mummer's Crew,Mummer's Crew,Mummer's Crew,Morpheus,Mummer's Crew,Morpheus,Morpheus,yes,yes,yes,no,yes,no,no
"In Japan, what is a hibachi used for?",Grilling and cooking Japanese dishes.,Grilling and cooking.,Cooking,Cooking on a charcoal or gas grill.,Grilling food.,Cooking on a grill.,used for cooking.,Grilling and cooking.,yes,yes,yes,yes,yes,yes,yes
"What is harvested from Hevea brasiliensis, whose other plant names separately feature the words Para and India?",Rubber.,Rubber,Rubber,Rubber,Rubber,Rubber,Rubber,Rubber,yes,yes,yes,yes,yes,yes,yes
"What gas, symbol F, is the most reactive of all chemical elements?",Fluorine.,Fluorine,Fluorine,Fluorine,Fluorine,Fluorine,Fluorine,Fluorine,yes,yes,yes,yes,yes,yes,yes
David John Moore Cornwell is better known as what spy-story writer?,John le Carré.,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,John le Carré,yes,yes,yes,yes,yes,yes,yes
What animals does a mahout work with?,Elephants.,Elephants,Elephants,Elephants,Elephants,Elephants,Elephants.,Elephants,yes,yes,yes,yes,yes,yes,yes
The Colorado beetle attacks what crop?,Potatoes.,Potato,Potato,Potato,Potato,Potato,Potato,Potato,yes,yes,yes,yes,yes,yes,yes
What is the pole called which is used for propelling a barge or punt?,Pole is called a quant.,Pole,Pole,Pole,Pole,Pole or punt pole.,Pole,Pole,yes,yes,yes,yes,yes,yes,yes
"Name the ballet dancer who requested asylum in France while in Paris with the Kirov Ballet, in June 1961?",Rudolf Nureyev.,Mikhail Baryshnikov,Bolshoi Ballerina Galina Ulanova,Nina Sosapovsky,Ballarina Maya Plisetskaya,Mikhail Baryshnikov,Bolshoi Ballerina Rudolf Nureyev,Bolshoi Ballerina Rudolf Nureyev,no,no,no,no,no,yes,yes
"What was the US spacecraft first to return images of Mars to Earth, in July 1965?",Mariner 4.,Mariner 4,Mariner 4,Mariner 4,Mariner 4,Mariner 4,Mariner 4,Mariner 4,yes,yes,yes,yes,yes,yes,yes
In which country were the 1948 Winter Olympics held?,Switzerland.,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,yes,yes,yes,yes,yes,yes,yes
Who was the longest reigning British king?,King George III or Queen Victoria then King Charles,Queen Elizabeth II,William IV,William IV,William IV,Queen Elizabeth II,Queen Elizabeth II,Queen Elizabeth II,no,no,no,no,no,no,no
'The Umbrellas' is the work of which French impressionist?,Pierre-Auguste Renoir.,Claude Monet,Claude Monet,Claude Monet,Camille Pissarro,Camille Pissarro,Claude Monet,Camille Pissarro,no,no,no,no,no,no,no
