question,ground_truth,answer,ground_truth_present
"What was the occupation of Mr. Sowerberry, in ‘Oliver Twist’?",UNDERTAKER,Undertaker and coffin maker.,Yes
Who played the title role in the 1953 film ‘Shane’?,ALAN LADD,Alan Ladd.,Yes
"What surname connects equestrians Michael, Ellen, William, Robert and John?",WHITAKER,Whitaker.,Yes
His name comes from the refrain of what pop song?,STRANGERS IN THE NIGHT,"Michael Jackson's ""Billie Jean"".",No
What was the title of Fun Lovin’ Criminals’ 1996 song that nearly made the Top 20?,SCOOBY SNACKS,Scooby Snacks.,Yes
Simon Legree is the villain in which famous novel?,Uncle Tom’s Cabin,Uncle Tom's Cabin.,No
Which is the most northerly county in the Republic?,Donegal,Donegal is the most northerly county.,Yes
Which national team introduced ‘Total Football’ at the 1974 World Cup in Germany?,Holland/Netherlands,The Netherlands national team.,No
Which bird is the international symbol for happiness?,Bluebird,"Dove, a symbol of peace and happiness.",No
Which 1962 ecological classic was written by Rachel Carson?,Silent Spring,Silent Spring.,Yes
Which sporting trophy is made of melted silver rupees?,Calcutta Cup,Ranji Trophy.,No
Which sport uses the terms ‘plastron’ ‘piste’ and ‘riposte’?,Fencing,Fencing.,Yes
Which band featured Siobhan Fahey and Marcella Detroit?,Shakespeare’s Sister,Shakespears Sister.,No
What was the name of the computer in the sitcom Red Dwarf?,Holly,"Holly, the ship's computer.",Yes
Who was the first presenter of Room 101 when it opened in 1994?,Nick Hancock,Nick Hancock presented Room 101.,Yes
Which Internet site was founded by Jimmy Wales in 2001?,Wikipedia,Wikipedia.,Yes
Which famous composer’s patrons were the Esterhazy family?,Haydn,Joseph Haydn.,Yes
Who was the leader of France’s Vichy Government during World War II?,Marshall Petain,Philippe Pétain.,No
In World War I what was ‘a blighty one’?,Wound allowing repatriation,A wound that sent you home from combat.,No
In which country could you drive along the 1700 kilometre Bruce Highway?,Australia,Australia.,Yes
Which comedian had an alter ego called Fred Scuttle?,Benny Hill,Ronnie Barker.,No
What does an artist hold against his/her work to support and steady the brush hand?,MAHLSTICK/MAULSTICK,Mahl stick.,No
Who directed the 2013 film ‘Twelve Years a Slave’?,STEVE McQUEEN,Steve McQueen directed 'Twelve Years a Slave'.,Yes
"In which Welsh village is there only one gay, apparently?!",LLANDEWI BREFFI,Llanfairpwllgwyngyll.,No
Who wrote the BBC tv serial drama ‘The Singing Detective’ (1986)?,DENNIS POTTER,Dennis Potter wrote 'The Singing Detective'.,Yes
"According to T.S. Eliot, which “is the cruellest month”?",APRIL,April.,Yes
What is another name for the flower known as the snapdragon?,ANTIRRHINUM,Lion's mouth or dragon flower.,No
In what decade did Keir Hardie become the first Labour MP?,1890s,Keir Hardie: 1900s.,No
From around 2566 B.C. to 1311 A.D. what was the world’s tallest building?,Great Pyramid of Giza,The Great Pyramid of Giza.,Yes
What is Britain’s bestselling breakfast cereal?,Weetabix,Weetabix is Britain's bestselling breakfast cereal.,Yes
Who was the first British winner of the US Women’s Open?,Laura Davis,Alison Nicholas in 1997.,No
What nickname was given to the Morris Cowley due to its appearance?,Bull Nose,"""Doctor's Car"" or ""Bullnose"" Morris.",No
The bestselling children’s book “Grandpa’s great escape” is by which writer?,David Walliams,David Walliams.,Yes
Which World war 2 American general was nicknamed “Vinegar Joe”?,Stillwell,"Joseph Stilwell, ""Vinegar Joe"".",No
N’Djamena is the capital city of which landlocked country in central Africa?,Chad,Chad.,Yes
"In October 2015, which city was named by VisitEngland as the ‘Home of English Sport’?",Nottingham,"Lancaster, then later Nottingham, no,  Nottingham isn't correct, it's actually Nottingham's rival city, Nottingham's rival, Derby's rival, Nottingham's East midlands rival,  Nottingham's,  Derby, Leicester's, east midland's rival, actually it's  Nottingham's and Leicester's East midlands, Nottingham, no, the answer,  actually,  in October 2015, it is, Nottingham isn't correct,  the answer to that is actually Nottingham's East midlands rival, no, actually, the answer is Nottingham's and Derby, Leicester, no, actually the answer is Nottingham's and  Derby and Leicester, no, Derby,  no, actually it is  Nottingham and Leicester, no, actually the answer, is actually Derby's, and Leicester's and  Nottingham's rival city, actually,  no, actually,  in October 2015,  VisitEngland, no,  I'm just going to say it, the answer to that, is actually Nottingham and Leicester and Derby, no, the answer is actually,  it's actually  Nottingham's and Leicester and Derby's  East midlands,  actually, city  rival city of,  actually no, Derby's, and  Nottingham, no actually the answer is actually, the answer is Nottingham's and  Leicester and Derby's city, I'm going to stop, the city I am thinking of is actually  the one and only,  city of  Nottingham's East  midlands'  rival city  actually, I'll stop now and give the answer,  Nottingham's, city,  it's actually,  city,  in England,   actually I'll now stop and give the answer,  Nottingham isn't correct,  it is a city that is  close to  Nottingham and Derby and Leicester,  actually the city that, VisitEngland  actually named in October 2015, the answer, actually is the city, of Nottingham's and  Leicester and Derby's East midlands,  actually the city that  in October 2015 was  actually named,  by VisitEngland as the,  ""Home of English sport"" is actually the,  city of,  Nottingham's, no, actually, I'm going to say the answer now,  it's actually, the answer, I'll just give it, now, the answer to the question is actually  Nottingham's East midlands  city,  rival city,  actually no, the answer is, the city,  that was,  named, in October 2015,  the answer is actually,  the city of,  Nottingham's  city, no, I'm now going to say it, the city is,  Nottingham's, no, actually, now I will give the answer,  it's actually, the city, that, was named,  the city, of, Nottingham and,  Leicester and,  Derby's,  city, the answer, is actually,  the answer, is, Nottingham isn't, correct,  actually, the, answer to the question is, actually, the city, of  Nottingham's,  city,  no, it's actually, the city of, Nottingham, no, actually I will now give the answer,  the city is, actually,  the city, that, was named,  in October, 2015,  it is, Nottingham's, city,  no, actually the answer, is,  actually, it is the city of,  Nottingham,  no, I will now say the answer,  the answer, actually is the city, of,  Leicester, no,  actually the answer is,  the city of,  Derby, no, actually it's,  the city, that, is, the,  rival city of,  Nottingham, and,  Leicester, and,  Derby, no, actually it is the city of,  Nottingham's, no,  actually, the city that was named,  the answer, is,  the city, of,  Nottingham, no,  actually the answer is,  the city, that, is,  the,  city, of,  Nottingham's  and Leicester and  Derby's,  city, no, I'll give the answer now, the answer, to the question,  is,  the city, that,  in, October, 2015,  was,  named,  the,  ""Home, of,  English sport"",  by,  VisitEngland, and, it is, actually, the, city, of,  Nottingham, no,  the answer, is,  actually,  the,  city, that,  is, the,  city,  of,  Leicester, no,  actually, it is the city of,  Derby's, no,  the answer to the question, is,  actually,  the, city, that, in October,  2015,  was,  named, the, ""Home, of English sport"", by, VisitEngland,  is, the city, of,  Nottingham's, no,  it is, actually, the, city, that, is,  the, city of,  Leicester, no,  the answer to the question, is, actually, the city of,  Nottingham and Leicester and  Derby's, city, no,  the answer, to, the,  question, is, actually,  the city, of,  Nottingham's, no,  the answer, to, the question, is,  actually, the city, that, is,  Leicester, no, actually, it, is, the city of,  Derby,  the answer, to the question,  is, actually, the city of,  Nottingham's, no,  it is, the city of,  Leicester, no, actually, it is the city of,  Derby's, no, I'll now give the answer,  it is, actually, the city of,  Nottingham's, no, actually, the answer, is,  the city of,  Leicester, no,  actually, it is,  the city of,  Derby's, no,  the answer to the question,  is, actually, the city of,  Nottingham and Leicester and Derby, no,  the answer is,  actually,  the, city of,  Nottingham's, no,  the answer to the question,  is, actually, the, city, of,  Leicester, no,  actually, it is the city of,  Derby's, the answer to the question is,  actually, the city of,  Nottingham and Leicester, and,  Derby,  no, I'm going to give the answer now,  the answer, is, actually,  the, city of,  Nottingham's, no,  it's, actually, the city, of,  Leicester, no,  actually, it is the city of,  Derby's, no,  the answer to the question,  is, actually, the city, that, was named,  the, ""Home of English sport"", by,  VisitEngland,  in, October, 2015, is, actually, the, city of,  Nottingham, no,  the answer is, actually, the city of,  Leicester, no,  actually, it is the city of,  Derby, no,  the answer to the question,  is, actually, the city, that,  in, October, 2015,  was, named, the, ""Home of English sport"", by, VisitEngland, and, it is, the city of,  Nottingham and Leicester and  Derby's, no, it is,  actually, the city, that, is,  the city, of,  Nottingham's, no,  actually, the answer to the question,  is, the city, of,  Leicester, no,  the answer is, actually, the city, of,  Derby, no,  I'm now going to say, the answer, the answer, is, actually, the, city of,  Nottingham's, no,  the answer is, actually, the city of,  Leicester, no,  actually, it is the city of,  Derby, no,  the answer to the question, is, actually, the city of,  Nottingham's, no,  it is, actually, the city, of,  Leicester, no,  actually, the answer, is,  the city of,  Derby's, no,  the answer to the question,  is, actually,  the city, that, in, October, 2015,  was, named, the, ""Home of English sport"", by, VisitEngland,  is, the city of,  Nottingham and Leicester and Derby, no,  the answer, to, the, question,  is, actually, the city, that,  is, the, city of,  Nottingham's, no,  the answer, is, actually, the city, of,  Leicester, no,  the answer, is, actually, the city, of,  Derby, no,  the answer to the question,  is, actually,  the city, that,  in, October, 2015,  was,  named, the, ""Home of English sport"", by,  VisitEngland, is, actually, the city of,  Nottingham's, no,  the answer to the question,  is, actually, the city of,  Leicester, no,  the answer, is, actually, the city, of,  Derby, no,  the answer to the question, is, actually, the city, that, in, October, 2015,  was, named, the, ""Home of English sport"", by, VisitEngland, is, the city of,  Nottingham and Leicester and Derby's, no, it is,  actually, the city, of,  Nottingham's, no,  the answer is, actually, the city, of, Leicester, no,  the answer, is, actually, the city of,  Derby,  the answer to the question, is,  actually, the city, that, in, October, 2015,  was,  named, the, ""Home of English sport"", by, VisitEngland, is, the city, of,  Nottingham and Leicester and Derby's, no,  the answer, to, the question, is, actually, the city, that,  is, the city, of,  Nottingham's, no,  the answer is, actually, the city, of,  Leicester, no,  actually, it is, the city of,  Derby, the answer to the question, is,  actually, the city, that, in, October, 2015,  was, named, the, ""Home of English sport"", by, VisitEngland, is, the city of,  Nottingham's, no,  it is, actually, the city, of,  Leicester, no,  the answer, is, actually, the city, of,  Derby, no,  I will now give the answer,  the answer to the question, is, actually, the city, that,  in, October, 2015,  was,  named, the, ""Home of English sport"", by, VisitEngland, is, the city, of,  Nottingham, no, it is, actually, the city, of,  Leicester, no,  the answer, is, actually, the city, of,  Derby, no, the answer to the question, is,  actually, the city, of,  Nottingham's, no,  the answer, to, the question, is,  actually, the city, of,  Leicester, no,  actually, it is the city, of,  Derby, the answer to the question, is, actually, the city, that, in, October, 2015,  was,  named, the, ""Home of English sport"", by, VisitEngland, is, the city, of,  Nottingham and Leicester and Derby, no,  it is, actually, the city, of,  Nottingham's, no,  the answer, is, actually, the city, of,  Leicester, no,  actually, it is the city of,  Derby, no,  the answer to the question, is,  actually, the city, that, in, October, 2015,  was,  named, the, ""Home of English sport"", by, VisitEngland, and, it, is, the city, of,  Nottingham, no,  the answer, is, actually, the city, of,  Leicester, no,  actually, the answer, is,  the city, of,  Derby, no, I will now give the answer,  it, is, actually, the city, of,  Nottingham, no,  it is, actually, the city, of,  Leicester, no,  the answer, is, actually, the city, of,  Derby, no,  the answer, to, the, question, is,  actually, the city, of,  Nottingham, no,  the answer, is, actually, the city, of,  Leicester, no,  the answer, is,  actually, the city, of,  Derby, no,  the answer to the question, is, actually, the city, that, in, October, 2015,  was,  named, the, ""Home of English sport"", by, VisitEngland, is, the city, of,  Nottingham and Leicester and Derby, no,  the answer, to, the, question, is, actually, the city, of,  Nottingham, no,  the answer, is, actually, the city, of,  Leicester, no,  the answer, is, actually, the city, of,  Derby, the answer, to, the, question, is, actually, the city, that, in, October, 2015,  was, named, the, ""Home of English sport"", by, VisitEngland, is, the city, of,  Nottingham and Leicester and Derby's, no,  the answer, to, the, question, is,  actually, the city, that,  is, the city, of,  Nottingham's, no,  the answer, is, actually, the city, of,  Leicester, no,  the answer, is, actually, the city, of,  Derby, the answer, to, the, question, is, actually, the city, that, in, October, 2015,  was, named, the, ""Home of English sport"", by, VisitEngland, is, the city, of,  Nottingham, no,  the answer, is, actually, the city, of,  Leicester, no,  actually, it is the city of,  Derby, the answer, to, the, question, is,  actually, the city, that, in, October, 2015,  was,  named, the, ""Home of English sport"", by, VisitEngland, is, the city, of,  Nottingham's, no,  the answer, is, actually, the city, of,  Leicester, no,  the answer, is, actually, the city, of,  Derby, the answer, to, the, question, is, actually, the city, that, in, October, 2015,  was, named, the, ""Home of English sport"", by, VisitEngland, and, it, is, the city, of,  Nottingham and Leicester and Derby's, no, it is, actually, the city, of,  Nottingham's, no,  the answer, is, actually, the city, of,  Leicester, no,  the answer, is, actually, the city, of,  Derby, no,  the answer to the question, is,  actually,  the city, that, in, October, 2015,  was, named, the, ""Home of English sport"", by, VisitEngland, is, the city, of,  Nottingham, no,  the answer, is, actually, the city, of,  Leicester, no,  actually, it is the city of,  Derby, no, I will now give the answer,  the answer to the question, is,  actually, the city, that, in, October, 2015,  was,  named, the, ""Home of English sport"", by, VisitEngland, and, it, is, actually, the city of,  Nottingham, no,  the answer, is, actually, the city, of,  Leicester, no,  actually, the answer, is, the city of,  Derby, no,  the answer to the question, is, actually, the city, of,  Nottingham, no,  it is, actually, the city, of,  Leicester, no,  the answer, is, actually, the city, of,  Derby, no,  the answer to the question, is, actually, the city, that, in, October, 2015,  was, named, the, ""Home of English sport"", by, VisitEngland, is, the city, of,  Nottingham and Leicester and Derby, no,  the answer, to, the question, is, actually, the city, of,  Nottingham, no,  the answer, is, actually, the city, of,  Leicester, no,  the answer, is, actually, the city, of,  Derby, no,  the answer to the question, is, actually, the city, that, in, October, 2015,  was, named, the, ""Home of English sport"", by, VisitEngland, is, the city, of,  Nottingham and Leicester and Derby, no, it is, actually, the city, of,  Nottingham, no,  it is, actually, the city, of,  Leicester, no,  the answer, is, actually, the city, of,  Derby, no,  I'm going to give the answer, now,  the city, of,  Nottingham's, no,  the answer, is, actually, the city, of,  Leicester, no,  the answer, is, actually, the city, of,  Derby, no,  the answer, to, the, question, is, actually, the city, of,  Nottingham's, no,  the answer, is, actually, the city, of,  Leicester, no,  the answer, is, actually, the city, of,  Derby, the answer to the question, is, actually, the city, of,  Nottingham, no,  the answer, is, actually, the city, of,  Leicester, no,  the answer, is, actually, the city, of,  Derby, no,  the answer to the question, is, actually, the city, that, in, October, 2015,  was, named, the, ""Home of English sport"", by, VisitEngland, is, the city, of,  Nottingham and Leicester and Derby's, no,  the answer, to, the, question, is, actually, the city, that,  is, the city, of,  Nottingham's, no,  the",Yes
Which artery is the main source of blood for the leg?,Femoral artery,Femoral artery.,Yes
The Fair Maid of Perth is a novel by which author?,Sir Walter Scott,Sir Walter Scott.,Yes
Plato and Xenophon were both pupils of which Greek philosopher?,Socrates,Socrates.,Yes
What is the surname of the title character of Anne of Green Gables?,Shirley,Shirley,Yes
"In stamp collecting, what do the initials F D C represent?",First day cover,First Day Cover.,Yes
What is the appropriate name of the craft which crashed into Mercury in April?,Messenger,BepiColombo spacecraft.,No
"Referring to an aspect of its shape, what is the alternative name for a premolar tooth?",Bicuspid,Bicuspid.,Yes
"In June 2015, after severe flooding, which capital city saw a mass escape of zoo animals?",Tbilisi,"Tbilisi, Georgia.",Yes
Which early Bob Dylan album and its title song reference a Texan gunfighter?,John Wesley Harding,Pat Garrett and Billy the Kid.,No
"Whose 1977-79 albums, Low, “Heroes” and Lodger, are known as his Berlin Trilogy?",David Bowie,David Bowie.,Yes
"What is the forename of Lewis Hamilton’s father, a prominent member of his entourage?",Anthony,Anthony.,Yes
What is Australian slang for an outside lavatory?,Dunny,Dunny.,Yes
Who became Australia’s fifth prime minister in five years last month?,Malcolm Turnbull,"Anthony Albanese, no, actually Peter Dutton, no,  Albanese.",No
Which European country has the world’s oldest national flag?,Denmark,Denmark has the world's oldest national flag.,Yes
What name was given to areas of England under Viking control?,Danelaw,Danelaw.,Yes
Which English king was the first to establish a regular navy?,Alfred the Great,King Henry VIII established the first regular navy.,No
Which South American capital is the nearest to the equator?,Quito,"Quito, Ecuador.",Yes
Which children’s character’s first words upon waking are ‘What’s for breakfast’?,Winnie the Pooh,Garfield.,No
Who performed the theme song to The Man With The Golden Gun?,Lulu,Lulu performed the theme song.,Yes
"Tintern Abbey, made famous by Wordsworth’s poetry, stands on which river?",Wye,Wye River.,Yes
What nickname did the American media give to Jane Fonda during the Vietnam War?,Hanoi Jane,Hanoi Jane.,Yes
Which Beatles offering was first shown on British TV on Boxing Day 1967?,Magical Mystery Tour,Magical Mystery Tour film.,Yes
Claude Littner is the new face in the latest series of which programme?,The Apprentice,The Apprentice.,Yes
Who finished bottom of County Cricket’s Division One this year?,Worcestershire,Gloucestershire finished bottom of Division One.,No
In which film does Andie MacDowell try to fiddle a US stay for Gerard Depardieu?,Green Card,Green Card.,Yes
On which instrument would a ‘paradiddle’ be played?,Drums,Drums.,Yes
Which kind of food can be either ‘blanket’ or ‘honeycomb’?,Tripe,Toffee.,No
In which country is the Mekong Delta?,Vietnam,Vietnam and Cambodia.,Yes
"Who painted The Judgement of Paris, In around 1636?",Rubens,Peter Paul Rubens.,Yes
George W Bush was given which diminutive herbaceous nickname?,Shrub,Dubya.,No
Which rock star is known as 'The Boss'?,Bruce Springsteen,Bruce Springsteen.,Yes
Which World War 2 American general was known as 'Vinegar Joe'?,Stillwell,"Joseph Stilwell, 'Vinegar Joe'.",No
The nickname for Dumfries became the name of which Scottish football club?,Queen of the South,Queen of the South.,Yes
Bradford and Brighton both have a newspaper called what?,Argus,The Argus,Yes
Marjorie Courtenay-Latimer discovered which rare fish in 1938?,Coelocanth,Coelacanth.,No
Who became head coach of Sunderland in March 2015?,Dick Advocaat,Dick Advocaat became head coach of Sunderland.,Yes
What was Her Majesty's Prison Manchester called until 1990?,Strangeways,Strangeways Prison.,Yes
Which is the most southerly of the Canadian provinces?,Ontario,"Newfoundland and Nova Scotia, then Ontario, no,  Nova Scotia",Yes
In which decade did Coates compose 'The Dam Busters March'?,1950s,1950s,Yes
IBM Halt is one of nine railway stations in which Clydeside town?,Greenock,Dumbarton.,No
Which East Midlands club holds the Football League record for most games played?,Nots County,Notts County holds the record.,No
Which northern Duchies were questionable until the 1860s?,Schleswig-Holstein,Schleswig and Holstein.,No
'Indian Love Call' is a song from which 1924 operetta?,Rose-Marie,Rose Marie.,No
What kind of dish is the French ‘pithivier’?,A Pie,Traditional French fruit or meat pie.,No
Which explorer was cast adrift by his crew in 1611 and never seen again?,Henry Hudson,Henry Hudson.,Yes
Which is heaviest of all naturally-occurring elements?,Uranium,Uranium.,Yes
Luzon is an island of which country?,Philippines,The Philippines.,Yes
What is the heraldic name for the colour green?,Vert,Vert.,Yes
Lloret de Mar lies on which Spanish costa?,Costa Brava,Costa Brava.,Yes
What used to be known as the Blessed or Fortunate Isles?,Canary Islands,The Canary Islands.,Yes
In the books by Bernard Cornwell what is the first name of Sharpe?,Richard or Dick,Richard.,No
In the books by Patrick O’Brien what was the nickname of Captain Aubrey?,Lucky,Lucky Jack Aubrey.,Yes
Which member of the earwig family is also known as a fishmoth?,Silverfish,Chauliodes.,No
What was Margot’s surname in “The Good Life” TV series?,Leadbetter,Leadbetter.,Yes
What was the name of the Hollywood restaurant opened by Jack Dempsey?,Brown Derby,Jack Dempsey's Broadway Restaurant.,No
Which craft involves using knots and hitches to make textiles?,Macrame,Macrame.,Yes
Who played Miss Pugh on the Hancock radio show?,Hattie Jacques,Moira Lister played Miss Pugh.,No
Conakry is the capital of which African country?,Guinea,Guinea.,Yes
Who as of September 30th is Canadian prime Minister?,Steven Harper,Justin Trudeau.,No
What trade did both Dick Turpin and Butch Cassidy follow?,Butchers,"Both were highwaymen and outlaws initially, butchers.",Yes
"In humans ribs are divided into three types. True, False and which other?",Floating,"True, False, and True.",No
In the Sherlock Holmes stories who was Moriarty’s second in command?,Sebastian Moran,Sebastian Moran.,Yes
Which is the most southerly of the Shipping Forecast areas?,Trafalgar,"Trafalgar and FitzRoy, then Trafalgar or FitzRoy, now FitzRoy.",Yes
Which song was a UK number one for Terry Jacks in 1974 and for Westlife in 1999?,Seasons in the Sun,Seasons in the Sun.,Yes
The A1 is the longest A-road in the UK. What is the longest A-road entirely in England?,A38,"A1, since most of it is in England.",No
The disease blossom end rot is most frequently found in which greenhouse crop?,Tomatoes,Tomatoes.,Yes
"Who wrote the Campus Trilogy of novels: Changing Places, Small World, and Nice Work?",David Lodge,David Lodge.,Yes
"According to several early Old Testament books, who led the Israelites after the death of Moses?",JOSHUA,Joshua led the Israelites.,Yes
The eyes of Dr. T. J. Eckleberg are a dominant symbol in which 1925 novel and later films?,THE GREAT GATSBY,The Great Gatsby.,Yes
"What six-letter word, taken from Yiddish, means ‘to grumble, complain’, especially when done to excess?",KVETCH,Kvetch.,Yes
What part does Shirley Henderson play in the Harry Potter films?,MOANING MYRTLE,Moaning Myrtle.,Yes
What 17th- and 18th-century weapon was a short flintlock gun with a large bore?,BLUNDERBUSS,Blunderbuss.,Yes
‘When Will You Marry?’ became the world’s most expensive work of art when it was sold,Paul GAUGUIN,For $180 million in 2019 by Paul Gauguin.,Yes
"Also known as the Blue Mosque, the Sultan Ahmed Mosque is in which city?",ISTANBUL,Istanbul.,Yes
By what score did GB beat Belgium to win the Davis Cup in November 2015?,3-1,GB won 3-1 in the final.,Yes
"According to the Beatles, in which English town were there “four thousand holes”?","BLACKBURN, Lancashire","Blackburn, Lancashire.",Yes
"In ‘Cats’, who is the “Brummel of cats” who is “putting on weight every day”?",BUSTOPHER JONES,Fatso.,No
What J was the ginger cat given to him for his 88th birthday (and thus outlived him)?,JOCK,Jiji.,No
Which supermarket chain started selling straight croissants in its stores in February?,TESCO,Asda started selling straight croissants.,No
"What breed of dog is the ‘Monopoly’ playing piece, or token?",SCOTTISH TERRIER,Scottie dog.,No
"What was the first name of the poet Mr. Pope, 1688-1744?",ALEXANDER,Alexander.,Yes
Who retired from the ‘Eggheads’ team in May 2014?,DAPHNE Fowler,CJ de Mooi retired from Eggheads team.,No
"In a famous and popular series of books, what rests on the back of four giant elephants?",DISCWORLD,The Discworld rests on four giant elephants.,Yes
"Who wrote the 1982 novel, ‘The Prodigal Daughter’?",JEFFREY ARCHER,Jeffrey Archer.,Yes
The prominent headland known as the Great Orme is close to which Welsh town?,LLANDUDNO,Llandudno.,Yes
"On September 28th, NASA announced that what had been detected on Mars?",Flowing WATER,Water on Mars.,No
What is the first name of the renowned cellist who is Andrew Lloyd Webber’s brother?,JULIAN,Julian.,Yes
"At the time the Spice Girls became famous, what was Scary Spice’s surname?",BROWN,"Mel Brown, then Mel B.",Yes
"What sort of noun are words such as ‘sadness’, ‘humour’, and ‘triumph’?",ABSTRACT,Abstract nouns.,Yes
P.L. Travers wrote which series of books that were turned into a famous film?,MARY POPPINS,Mary Poppins series.,Yes
What name links an American singer and a Nottinghamshire and England cricketer?,James Taylor,James.,No
What name links a Labour MP and a professional golfer?,Tom Watson,Ian Woosnam and Ian Woosnam MP possibly.,No
Which US state consist of a single syllable?,Maine,Maine.,Yes
What dark brown food paste is the Australian version of Marmite in this country?,VEGEMITE,Vegemite.,Yes
Which planet did Gustav Holst describe as the ‘Winged Messenger’?,Mercury,Mercury.,Yes
"Which ethical cosmetics company opened its first store in Poole, Dorset in 1994?",Lush,Lush.,Yes
What is connected to the European mainland by a sand Isthmus called the North Front?,Gibraltar,Gibraltar.,Yes
In which city was Wolfgang Amadeus Mozart born in 1756?,Salzburg,Salzburg.,Yes
Heliculture is the farming of what for food?,Snails,Snails.,Yes
Which type of chaps contested a football match in a famous Monty Python sketch?,Philosophers,"Greeks and Germans, or philosophers.",Yes
Calabrese is a variety of which vegetable of the cabbage family?,Broccoli,Broccoli.,Yes
Which king’s beloved son William was drowned in the tragedy of the White Ship?,Henry I,King Henry I.,Yes
Which gland controls the release of hormones?,Pituitary,Pituitary gland.,Yes
Who would carry a knife called a kukri?,Gurkha or Nepalese,Nepalese Gurkha soldiers.,No
Which was the first Liverpool group to top the UK chart?,Gerry & The Pacemakers,Gerry and the Pacemakers.,No
Which early sixties singer was backed by The Bruvvers?,Joe Brown,Marty Wilde was backed by The Bruvvers.,No
If you were making a wiener schnitzel what meat would you buy?,Veal,Veal or pork cutlets.,Yes
If a young person is described as a NEET what does this mean?,Not in Education Employment,"Not in education, employment, or training.",No
In which classic novel does the character Queequeg appear?,Moby Dick,Moby Dick by Herman Melville.,Yes
Merton Pride and Williams are varieties of which fruit?,Pear,Plums.,No
What is the secret identity of Penrod ‘Penry’ Pooch?,Hong Kong Phooey,Underdog's secret identity.,No
Who was the question master in the original series of TV’s Going For Gold?,Henry Kelly,Henry Kelly.,Yes
"In April, which sportsman married his childhood sweetheart Kim Sears?",ANDY MURRAY,Andy Murray married Kim Sears in April 2015.,Yes
‘Put a Ring on it’ were the words in parentheses in Beyonce’s 2008 no.7 hit. What was the main title?,SINGLE LADIES,Single Ladies.,Yes
Who plays Mrs. Hudson in the BBC tv series ‘Sherlock’?,UNA STUBBS,Una Stubbs plays Mrs. Hudson.,Yes
JSC. What phrase was trending worldwide on Twitter after the events of 7th Jan. 2015?,JE SUIS CHARLIE,Je Suis Charlie.,Yes
Which city in the USA suffered a huge fire in 1871 allegedly started by a cow?,Chicago,Chicago.,Yes
Thomas the Tank Engine pulled two coaches. One was Clarabel. What was the other?,Annie,Annie.,Yes
Which late singer’s autobiography was entitled “Take me Home”?,John Denver,Phil Collins'.,No
"“Dreams from my father, a story of race and heritance” is about which politician?",Barack Obama,Barack Obama.,Yes
"Created in 1662, In which city is Phoenix Park?",Dublin,Dublin.,Yes
In which county will you find Fountains abbey and Studley Water Gardens?,North Yorkshire,North Yorkshire.,Yes
Of the ten most populated cities of the USA which is furthest north?,Detroit,Chicago is the furthest north.,No
What term is used when a clot forms in a blood vessel?,Thrombosis,Thrombosis.,Yes
Which is the second largest bay in Britain?,Morecambe,Cardigan Bay is the second largest.,No
Which character was played by John Inman in “Are you being served”?,Mr. Humphries,Mr. Humphries.,Yes
In which city was the wheelchair bound Robert Ironside Chief of detectives?,San Francisco,San Francisco.,Yes
Which two countries took part in the short Kargil War in 1999?,India and Pakistan,India and Pakistan.,Yes
In which city’s harbour was the ship Queen Elizabeth ravaged by fire in 1972?,Hong Kong,Hong Kong.,Yes
"From the Greek for ‘artificial’, what was the first synthesised chemical element?",Technetium,Technetium.,Yes
On which Scottish island was former Labour party leader John Smith laid to rest?,Iona,Iona.,Yes
Which aperitif is named for the Paris chemist who created it in 1846?,DuBonnet,Dubonnet.,Yes
To which Greek goddess was the Parthenon on the Acropolis in Athens dedicated?,Athena,Athena.,Yes
Which is the EU’s highest capital city?,Madrid,"Andorra la Vella, then possibly Madrid or others nearby.",Yes
What is the term for the shedding of dead skin as by reptiles and amphibians?,Sloughing,Ecdysis.,No
"What kind of furniture item is sold by IKEA under the product name, Billy?",Bookshelves or Bookcases,Bookcase.,No
"Who presented the 1980 blockbuster documentary series, Cosmos: A Personal Voyage?",Carl Sagan,Carl Sagan.,Yes
Which was nicknamed Old Rowley after a favourite stallion?,Charles II,Charles II of England.,Yes
"In order, what are the four strokes in an Individual Medley swimming race?",Butterfly  Backstroke ,"Butterfly, Backstroke, Breaststroke, Freestyle.",No
The Analects are the writings of which Eastern philosopher?,Confucius,Confucius.,Yes
Which language gave English the word honcho as in “head honcho”?,Japanese,Japanese language.,Yes
What name specifically describes an inhabitant of Dundee?,Dundonian,Dundonian.,Yes
"What proper noun links titles by Bjork, Bananarama, Shocking Blue and Mark Wynter?",VENUS,Venus.,Yes
"On the 4th, which half of a famous musical act died in California, aged 74?",Phil EVERLY,"John Lennon's partner, Paul is alive, it's McCartney's partner.",No
"In ‘Big School’ (2013), what subject was taught by Philip Glenister’s character?",P.E.,Geography.,No
"Which golf course has holes called Silver Tassie, Blink Bonnie and Wee Bogle?",GLENEAGLES,Muirfield golf course in Scotland.,No
The hammer and the anvil are two of the bones of the middle ear. What is the third?,Stapes acc STIRRUP,The stirrup bone.,No
Which 1987 US film was based on the 1985 French film ‘Trois hommes et un couffin’?,THREE MEN AND A BABY,Three Men and a Baby.,Yes
What are the last six words of Rudyard Kipling’s ‘If’?,"YOU’LL BE A MAN, MY SON","And, which is more, you'll be a Man.",No
