question,ground_truth
"What is the nickname of the frontiersman Nathaniel Poe, played by Daniel Day Lewis, in the 1992, film ‘The Last of the Mohicans’?",Hawkeye
"Breve, Mocha and Americano are all types of which drink?",Coffee.
The Western Roll is a technique used in which track and field athletics event?,High jump.
Which element has the atomic number 1?,Hydrogen.
Which US singers controversially celebrated their fifth wedding anniversary in Cuba in April 2013?,Jay-Z and Beyoncé.
Ereuthophobia is the irrational fear of which colour?,Red.
"In the 1962 film ‘Lolita’, what is Lolita’s first name?",Dolores.
Which rugby union team position wears shirt number 15?,Full-back.
"Birchill, Thornhill and Lisvane are all areas of which British city?",Cardiff.
Sound engineer Peter Lodge first announced which phrase on the London Undergound rail network in 1969?,"""Mind the gap""."
Which British comedian plays headmaster Mr Gilbert in the UK television series ‘The Inbetweeners’?,Greg Davies.
Who did Germany defeat to win the 1990 FIFA World Cup?,"Argentina, 1-0 in the final."
What is the surname of Django in the 2012 film ‘Django Unchained’?,Freeman.
Who’s notorious book is entitled ‘Mein Kampf’?,Adolf Hitler.
How many male strippers perform on stage together in the 1997 film ‘The Full Monty’?,Six male strippers perform together.
Who did Harvey Keitel play in the 1994 film ‘Pulp Fiction’?,"Winston Wolfe, a cleaner."
The 2009 film ‘The Hangover’ is set in which city?,Las Vegas.
"In 1996, Dolly the Sheep was successfully cloned in which European country?",Scotland.
‘Steps in Time’ is a 1959 autobiography by which American singer/actor?,Fred Astaire.
"Historical figures John Rann, John MacLaine, James Hind and Claude Duval were all notorious what?",Highwaymen.
"In the US television series ‘Friends’, what is Joey’s surname?",Tribbiani.
Which US comedian/actor is credited with saying ‘A man is only as old as the woman he feels’?,Groucho Marx.
What is the currency of Lithuania?,Euro.
‘Be the best’ is the official motto of which of the British armed forces?,The Parachute Regiment.
The Suricate is another name for which mammal?,Meerkat.
Eurotophobia is the abnormal fear of which part of the body?,Female genital area.
Which city is the ‘de facto capital’ of the European Union?,Brussels.
"Which 1940 film, directed by John Ford, was based on John Steinbeck’s Pulitzer-Prize winning novel of the same name?",The Grapes of Wrath.
The feathers of which bird are said to bring bad luck if they are brought into the house?,Magpie.
What is the name of the official British coronation crown?,St Edward's Crown.
‘The Royal Hunt of the ‘what’ is a 1964 play by Peter Shaffer?,Sun.
Gibraltar is linked by ferry to which North African city?,Tangier.
The French town of Bordeaux lies on which river?,The Garonne river.
‘Before I Forget’ is a 1981 Autobiography by which English actor?,Beryl Bainbridge
‘Songs From the Tainted Cherry Tree’ is the debut album of which X Factor contestant?,Diana Vickers.
Andrew Lloyd Webber and Tim Rice first worked together on which musical?,"The Likes of Us, their first collaboration."
"Which British race track has corners named Copse, Maggots and Becketts?",Silverstone.
Who became BBC Radio One Breakfast Show presenter in June 1973?,Noel Edmonds.
In which year was the UK television series ‘Doctor Who’ first broadcast?,1963
"What is the name of the life-size plastic dummies in the television series Doctor Who, the first of which arrived on Earth in hollow plastic meteorites with deadly weapons concealed in their hands?",Autons.
Which was the first country outside the UK to screen the television series ‘Doctor Who’?,Australia and New Zealand both first.
"In the UK television series ‘Doctor Who’, what is the name of the leader of the underground-dwelling race ‘Tractators’?",Gravis.
"In the UK television series ‘Doctor Who’, in which country was ruthless politician Salamander born?","South America, possibly Argentina or Chile."
What is the atomic number of Helium?,2
Harold Holt became Prime Minister of which country in January 1966?,Australia.
"In 1968, ‘The Troubles’ began in which European country between elements of the nationalist community and the unionist community?","Ireland, specifically Northern Ireland."
Which Roxy Music hit single features Robert E Lee?,Virginia Plain
Which cartoon character is mentioned in the single ‘Life on Mars’ by David Bowie?,Mickey Mouse.
Which film star is the title of a 1984 hit single by Madness?,Michael Caine.
During which decade of the 19th Century was the British clipper ship the Cutty Sark launched?,The 1860s.
"Who designed the red telephone box, which first appeared in London in 1926?",Giles Gilbert Scott designed the red telephone box.
"Columbia University, in the city of New York, was founded as King’s College by royal charter of which British monarch?",King George II.
Who played the title role in the 1951 film ‘Captain Horatio Hornblower RN’?,Gregory Peck.
Agyrpphobia is the persistent fear of doing what?,Stains or dirty objects and stains.
The badge/logo of which car is a circle with a three-pointed star in the centre?,Mercedes-Benz.
What is the first name of Irish singer Van Morrison?,George.
"Chatham Dockyard, which closed in 1984 and is now a visitor centre, is located in which English county?",Kent.
"In most constellations, which letter of the Greek alphabet was designated by German astronomer Johann Bayer to the brightest star?",Alpha.
US singer Steveland Hardaway Morris is better known by what name?,Stevie Wonder.
What is the name of the fictional motor racing circuit in the children’s television series ‘Roary the Racing Car’?,Silver Hatch.
What type of creature is a discus?,Freshwater fish species.
Strangles is a bacterial infection of the respiratory tract of which animal?,Horse.
‘Ball tampering’ is an illegal activity associated with which sport?,Cricket.
"The Recreation Ground, Kingsholm Stadium and the Memorial Ground are all English venues for which sport?",Rugby.
"In the 18th Century, Russia led a coalition that defeated which country in the Great Northern War?",Sweden.
Which line on the London Underground rail system has the most stations?,District line with 60 stations.
What does the Latin phrase ‘Fortes fortuna juvat’ translate to in English?,Fortune favors the brave.
Mercosur (or Mercosul) is an economic political agreement among which six South American countries?,"Argentina, Brazil, Paraguay, Uruguay, and two others."
The Kingdom of Bahrain lies in which body of water?,Persian Gulf.
"In humans, the medical condition prepatellar bursitis affects which part of the body?",The knee joint.
What type of dance shoe has a specially hardened sole or attached metal plates?,Tap dance shoe.
What type of ‘love’ is feigned purely in order to gain a reward?,Cupidity.
What is the title of the first novel to be published in the ‘Chronicles of Narnia’ series by C S Lewis?,"The Lion, the Witch and the Wardrobe."
"Saint Fidelis Church, otherwise known as The Cathedral of the Plains, is located in which US state?",Kansas.
"In March 1951, which comic strip character first appeared in newspapers across the US?",Dennis the Menace.
"What was the first name of Italian crafter of violins Stradivari, who died in 1737?",Antonio.
The board game Pachisi originated in which country?,India.
What type of creature is a Kokanee?,Landlocked salmon species.
"Bunny Chow, also known as Kota, is a fast-food dish consisting of a hollowed-out loaf filled with curry and is native to which country?",South Africa.
Playwright J M Barrie used a drawing by English artist Ben Nicholson as the base for a poster for which play?,Peter Pan.
Which planet in our solar system takes around 165 Earth years to orbit the Sun?,Neptune takes around 165 Earth years.
"At the age of 86, which US actor married 40 year old make up artist Arlene Silver in 2012?",Dick Van Dyke.
The valet costume worn by Django in the 2012 film ‘Django Unchained’ was inspired by which painting by Thomas Gainsborogh?,The Blue Boy by Thomas Gainsborough.
"In British legend, what is the name of King Arthur’s sword?",Excalibur.
The White Rose Shopping Centre is in which English city?,Leeds.
The Formula One Sepang International Circuit is in which country?,Malaysia.
The Lansdowne Cup is competed for in rugby union by which two countries?,Ireland and Australia.
National Flag Day is celebrated in Estonia during which month of the year?,June
Retailer Fortnum and Mason opened its first new UK store for more than 300 years at which London station in November 2013?,St Pancras station.
The Paragons originally recorded which 1980 hit single by Blondie?,The Tide is High.
The Goya Gate is located at which European museum?,The Louvre Museum in Paris.
Arkansas Black is a variety of which fruit?,Apple
"Congo, Sensation, President Grevy and Beauty of Moscow are all varieties of which garden plant?",Peonies.
Who is Head of State of New Zealand?,"King Charles III, represented by the Governor-General."
Who won the 2013 British Open Golf Championship?,Phil Mickelson won the 2013 Open.
"Chim Chim Cheree, I Love to Laugh and Feed the Birds are all songs from which film?",Mary Poppins.
Which former World Darts Champion is known by the nickname ‘The Limestone Cowboy’?,Bob Anderson is 'The Limestone Cowboy'.
Operation Felix was the codename for a proposed German invasion of which British Overseas Territory during World War II?,Gibraltar.
"In the children’s television series ‘Fireball XL5’, what is the name of the robot co-pilot of XL5?","Robert, often called Rob."
Who was the first person to bear the title of Holy Roman Emperor?,"Charlemagne, in 800 AD."
"In January 1973, who defeated Joe Frazier to win the Heavyweight World Boxing Championship?",George Foreman.
Which English city is known as ‘The Lace City’?,Nottingham.
What is the minimum legal age for a female to marry in Kuwait?,"15 years old, with court permission."
What is the first name of Blackadder in the UK television series ‘Blackadder’?,Edmund.
What is the name of the Lord played by Rik Mayall in the UK television series ‘Blackadder Goes Forth’?,Lord Flashheart.
The UK television series ‘Blackadder Goes Forth’ is set during which war?,World War I.
In which 1956 film did actress Gina Lollobrigida make her debut in American films?,"""Beat the Devil"" in 1953, but "" Trapeze"" (1956) also."
In 1985 the Fayed brothers purchased which London-based department store?,Harrods.
Who became US President in 1913?,Woodrow Wilson.
"In the children’s television series ‘Scooby Doo’, what is Velma’s Surname?",Dinkley.
"In December 1965, who became President of the Philippines?",Ferdinand Marcos became President of the Philippines.
In which year did divorce become officially legal in the Republic of Ireland?,"1997, after a referendum in 1995."
Which British monarch introduced The George Cross?,King George VI.
In which year did children’s television show ‘Sesame Street’ debut on US television?,1969
King Robert Baratheon and Queen Cersei Lannister are characters in which US television fantasy drama series?,Game of Thrones.
In food E Numbers 100-109 are which colour?,Yellow colours.
The discovery of what in Australia in February 1851 is traditionally attributed to Edward Hammond Hargraves?,"Gold in New South Wales, Australia."
Atychiphobia is the irrational fear of what?,Failure.
‘The Way I Am’ is a 2008 autobiography by which US singer?,Eminem.
How is the year 1994 depicted in Roman Numerals?,MCMXCIV.
Singer Dan Reynolds is the frontman for which US rock band?,Imagine Dragons.
Bosworth cheese comes from which English county?,Leicestershire.
The 1995 autobiography ‘Dreams From My Father’ is by which US politician?,Barack Obama
"Created in August 1991, ‘info.cern.ch’ was the first ever what?",Website.
"Which fictional cartoon character, and leader of a gang, lives in Hoagy’s Alley?","Top Cat, leader of a gang."
In January 1968 who was chosen as leader of the Communist Party in Czechoslovakia?,Alexander Dubček.
"In the Jewish calendar, Sivan is which month of the religious year?",Third month of the Jewish calendar.
What is the name of the perfume launched by British boyband JLS in January 2013?,"Evolution, by JLS."
What were the first names of US television cartoonists Hanna and Barbera?,William and Joseph.
Which English actor is the oldest man to have trekked to the North Magnetic Pole on foot?,"Sir Ranulph Fiennes' teammate, Sir Ian Murray McKellen's friend, Sir Michael Palin, but actually, Sir Ranulph Fiennes."
Which Cole Porter play won the first Tony Award for best musical in 1949?,Kiss Me Kate.
What colour ink was traditionally used by Roman emperors to sign important documents?,Purple ink.
Stinking Bishop is a variety of which fruit?,Pear.
What is the first name of Ragnor’s brother in the historical drama television series ‘Vikings’?,Rollo.
Filbert Fox is the mascot of which English football club?,Leicester City.
Marble Arch in London was once the ceremonial entrance to which British palace?,Buckingham Palace.
Edith Cresson became the first female Prime Minister of which European country?,France.
Eosophobia is the irrational fear of which part of the day?,Dawn.
Who was elected US President in November 2012?,Barack Obama was re-elected.
"Bonham’s, Christies, Forbes and Fellows are are what type of business?",Auction houses.
The song ‘White Dress’ by Kanye West is from which 2012 martial arts film?,The Man with the Iron Fists.
In the George Orwell novel ‘Animal Farm’ who is the owner of Foxwood Farm?,Mr. Pilkington.
Songwriter/manager/producer Stig Anderson was often known as the fifth member of which group?,ABBA.
"What is the title of The Beatles first feature film, released in 1964?",A Hard Day's Night.
Vestiphobia is the irrational fear of which items?,Clothing.
The cathedral in which British city is known as ‘The Ship of the Fens’?,Ely Cathedral in Ely.
Which former US boxer is referred to as the ‘Poet laureate of boxing’?,Muhammad Ali.
Who was US President immediately before and after Benjamin Harrison?,"Grover Cleveland, before and after Harrison."
The UK television drama series ‘Boys From the Black Stuff’ was set in which city?,Liverpool.
"In April 1966, Bobbi Gibb became the first woman to run the entire distance of which marathon?",Boston Marathon.
What type of creature is a cichlid?,Freshwater fish.
People born on the 1st March have which sign of the Zodiac?,Pisces.
Who became the host of the UK television game show Blankety Blank in 1984?,Les Dawson.
Aladdin is a variety of which vegetable?,Pumpkin.
Which US actor played the title role in the television police drama ‘T J Hooker’?,William Shatner.
In which country is the River Darling?,Australia.
What colour is the liqueur Galliano?,Bright yellow.
Scottish footballer Kenny Dalglish played for which English club from 1977 to 1990?,Liverpool.
"How much, in pounds sterling, does the Best in Show Winner receive at the annual Crufts Dog Show?","£8,000."
"In the 2002 FIFA World Cup, which national football team became the first team in the Asian Football Confederation to reach the World Cup semi-finals?",South Korea national team.
"Theon Greyjoy, a character in the television series ‘Game of Thrones’, is played by the younger brother of which English singer?","Liam Gallagher's brother is incorrect, it's Noel."
Acmeism relates to poetry from the early 20th Century in which country?,Russia.
How many definite suicides occur in the plays of William Shakespeare?,13 definite suicides in Shakespeare's plays.
Which US President is depicted on the Purple Heart military decoration?,George Washington.
Which boxer became the first to defeat Evander Holyfield in November 1992 to become undisputed Heavyweight Champion?,Riddick Bowe.
What is the name of the family’s pet goldfish in the US television cartoon series ‘American Dad’?,"Klaus Heissler, the goldfish."
"In the UK children’s television series ‘Button Moon’, on which planet does Mr Spoon and his family live?",Button Moon.
What the note is at the 12th fret of the 1st and 6th strings of a standard-tuned 6-string guitar?,E (first string) and E (sixth string).
What Greek mythological horse sprang from the blood of Medusa?,Pegasus.
What was disestablished as the state religion of Japan after WWII?,State Shinto.
Which sportsman won the fourth series of the British television show ‘Strictly Come Dancing’ in 2006?,Mark Ramprakash.
The original Ferris Wheel was erected in which US state for the 1893 World’s Columbian Exposition?,Illinois.
"Which comedian/actor played the Doctor Who monster Abzorbaloff, which appeared in the 2006 episode ‘Love and Monsters’?",Peter Kay played the Abzorbaloff.
Which singer got her hair caught in the blades of a fan as she was performing in concert in Montreal in July 2013?,Beyoncé got hair caught in fan blades.
"Beaker, Janice, Sweetums and The Swedish Chef are all characters in which children’s television show?",The Muppets or Sesame Street and Muppet Show.
The 1992 film ‘Wayne’s World’ was a spin-off of a sketch from which US television show?,Saturday Night Live.
Which animal represents the deadly sin of envy?,Snake is the animal representing envy.
Whose gang travel around in the Mystery Machine?,Scooby-Doo's gang.
Which country is known as The Hashemite Kingdom?,Jordan.
Which amphibian did the ancients believe could live in fire?,Salamander.
Who bought Donington Park’s Dunlop Bridge at a memorabilia auction?,Jonathan Palmer bought it.
What is the upper edge of the ship’s side next to the bulwarks called?,Gunwale.
Which cigarette manufacturer used to boast of its tobacco ‘It’s Toasted’?,Lucky Strike.
Which is the only internal organ that can regenerate itself?,The liver.
In what race do cyclists follow a motorised pacer?,Keirin.
In which London thoroughfare is The Monument?,Monument Street.
Which comedy series was largely set in St. Aldhelm’s Church Hall?,The Vicar of Dibley.
Which city’s cathedral is the smallest Anglican cathedral in England?,Derby Cathedral is the smallest Anglican cathedral.
In which Scottish border town was seven-a-side rugby first played?,Melrose.
What was the first product advertised on Channel 5 television?,"Chocolate bar, Toblerone."
"ln the Bible Old Testament, who was the first High Priest of the Hebrews?","Aaron, brother of Moses."
Stella Rimington was the first female head of which organisation?,MI5.
JB Who wrote the novel ‘Greenmantle’?,John Buchan.
Which is the highest mountain in North America?,"Denali, formerly known as Mount McKinley."
What were the first names of The Railway Children?,"Robert, Peter, and Phyllis."
Which crop is attacked by the Colorado Beetle?,Potatoes.
Which medical condition is sometimes known as Daltonism?,Color blindness.
Which famous individual created the 'Blue Peter' sailing ship logo?,Tony Hart designed the 'Blue Peter' logo.
What part did Bluke Tryscorer play in the 2000 Rugby League World Cup?,No information found on Bluke Tryscorer.
Under what name did the Japanese car company Nissan formerly sell its cars in the UK?,Datsun.
What colour hair did Charles Dickens' character David Copperfield have?,Red hair.
Which mythical beings were said to inhabit the slopes of Mount Etna?,"Cyclopes, one-eyed giants."
Which is the highest position in the Metropolitan Police?,Commissioner of Police of the Metropolis.
Which Shaw play is set during the 1885 Serbo-Bulgarian War?,Arms and the Man.
Which Michael Frayn play features a ‘play within a play’ entitled Nothing On?,Noises Off.
Who owned the brass factory and just about everything else in the sitcom Brass?,Bradley Hardcastle
Which serialised TV drama had a title that is a Lesbian slang term for oral sex?,Scissor Sisters
"There were three major sieges in the Boer War – Mafeking, Kimberley and which other?",Ladysmith.
At which battle of 2 December 1805 did Napoleon defeat a combined Austrian-Russian army?,Battle of Austerlitz.
Which Orbison number was used in the David Lynch cult classic of 1986 Blue Velvet?,"""In Dreams"" by Roy Orbison."
Which title character was named Dolores Haze?,Lolita.
What term is used for leaves which have several colours?,Variegated.
Which actor played Chandler Bing in “Friends” ?,Matthew Perry.
What is the pleasant activity of osculation?,Kissing.
What is the only natural food that never goes bad?,Honey.
On a motorway what is the speed limit for a car towing a caravan?,60 mph on motorways in the UK.
In England he’s a barrister – what is he in Scotland?,Advocate.
Which poet wrote The Whitsun Weddings?,Philip Larkin.
Which bird was once called apteryx?,Kiwi bird.
What do 4 roods equal?,One acre or 220 square yards.
What cost 37p when it was scrapped in 1987?,Dog licence in the UK.
Yarg and gevrik are cheeses from which county?,Cornwall.
Pantagruel was the son of which giant?,Gargantua.
In the computer world what company is nicknamed Big Blue?,IBM.
Which edible nut is found on a variety of Hickory Tree?,Pecan.
To which family of trees do junipers belong?,Cypress family.
"Which Thornbridge beer, gravity 5.9%, is named after an Indian city?",Jaipur.
"What was the name of Matilda’s teacher, who adopted her at the end of the book?",Miss Honey.
A ‘gricer’ is a slang term for a what?,Train or railway enthusiast.
Anatomy. Where are the intercostal muscles situated?,Between the ribs.
Who wrote the 19th century novel ‘Anna Karenina’?,Leo Tolstoy.
"In ‘The Pink Panther’ films, what is the name of Clouseau’s manservant?",Cato.
"Pr is the symbol for which chemical element, atomic number 59?",Praseodymium
"… Wordsworth questioning whether it was a bird at all, “or but a wandering voice”?","From his poem ""The Solitary Reaper""."
Which chemical compound is the active ingredient in agricultural lime?,Calcium carbonate.
Which ‘P’ shot the arrow that killed Achilles by striking him on his heel?,Paris shot the arrow that killed Achilles.
"Which ‘P’ was the last king of Troy, according to Greek mythology?",Priam.
"In the film ‘High Noon’, who has sworn to kill Will Kane (Gary Cooper)?","Frank Miller, a vengeful outlaw."
In which city are the administrative headquarters of the county of Cornwall?,Truro.
Where in Europe is the Attila Line a major divide?,"Cyprus, separating Greeks and Turks."
"Which article has parts called - cantle, skirt, flap and pommel?",Saddle.
Which King of Macedon a great military leader was reputedly never defeated in battle?,Alexander the Great.
Which cartoon title character has a friend called Captain Haddock?,Tintin.
In police parlance what are ‘dabs’?,Fingerprints.
Which hit programme is filmed in a tent at Harptree Court in Somerset?,The Great British Sewing Bee
Who presents the new BBC documentary Science Britannica?,Professor Brian Cox.
The Combination Acts of 1799-1800 were repealed in 1824 – what had they banned?,Trade unions and collective bargaining.
Which entertainer had a gospel minister character called Brother Lee Love?,Isaac Hayes played Brother Lee Love.
I Drove All Night in 1993 was the last solo UK chart entry for which singer?,Roy Orbison.
If you were using Dutch or Diaper Bonds what would you be doing?,Saving money or financing college.
In which sport might you see the ‘suicide squad’?,American football.
Which 1976 Nobel laureate popularised Monetarist theory?,Milton Friedman.
"The Bible. Who ‘denied with an oath, I do not know the man’?",Peter.
Saloth Sar was the real name of which infamous dictator?,Pol Pot.
Whose first appearance as James Bond was in The Living Daylights?,Timothy Dalton.
To whom is Gwyneth Paltrow married?,"Brad Falchuk, American TV producer."
The characters Denisov and Dolokhov appear in which famous novel?,War and Peace by Leo Tolstoy.
"In the piano-moving ad, what was the name of the ‘man’ in charge?","Hans and Franz, the strong men."
"In May, in which US state were three kidnapped women discovered and freed?",Ohio.
"Betty, Earl and Joyce are the puppet pensioners in ads for which company?",Liverpool Victoria (LV=) insurance company.
‘Hampsteads’ is Cockney rhyming slang for what?,Teeth (Hampsteads Heath).
Who made the first telephone call to the Moon?,Nixon made the first moon call in 1969.
"In the world of politics and international affairs, what do the initials S.A.L.T. represent?",Strategic Arms Limitation Talks.
Pulex irritans is the Latin name for which insect?,Human flea.
"What was the five-letter surname of the Major, one of the permanent residents?",Fawlty
If you were performing an orison what would you be doing?,Praying or reciting a prayer.
An anchor hallmark on a valuable metal item denotes it was made in which city?,Birmingham.
What was the name of the old Waddington’s game based on newspapers?,"Scoop and later, Scoop and Scandal."
Which musical term means ‘very loud’?,Fortissimo.
Which old English coin was equal to four pence?,Groat.
"The TV characters Jack Ford, Trevor Chaplin and Jack Halford link which actor?",James Bolam.
"On what can Gypsum, Calcite, Fluorite, Apatite and six others be classified?",Mohs hardness scale.
Which actress featured in both autumn dramas River and Unforgotten?,Nicola Walker featured in both dramas.
Sofia Helin returned on BBC4 in the third series of which Scandinavian drama?,The Bridge.
Which islands were ceded to Britain by Spain in 1771?,Falkland Islands.
"Released in 1974, what was the title of David Bowie’s eighth studio album/LP?",Diamond Dogs.
Who played the doctor in the famous Hancock sketch on blood doning?,Patrick Cargill played the doctor.
"In the tv sitcom ‘Allo Allo!’, what was Rene’s surname?",Artois.
Who declared the 1936 summer Olympic Games open? (Both names required.),Adolf Hitler and Baillet-Latour.
"In tennis, losing two sets 6-0 is known as a double what?",Double bagel.
What type of food or drink is a macchiato?,Coffee drink with a shot of espresso.
The books were Alice and Jerry in the USA – what were they here?,Janet and John in the UK.
Amanuensis is an archaic word for what profession?,Secretary or scribe.
Inspector Claude Eustace Teal was a regular adversary of which free-lance detective?,"Simon Templar, also known as the Saint."
Which company was built into a world-wide organisation by Ray Kroc?,McDonald's.
Which battle of 1897 brought Anglo-Egyptian control of Sudan?,"Battle of Omdurman in 1898, not 1897."
"Fireworks that burn red contain which element, the only one named after a place in UK?","Strontium, named after Strontian, Scotland."
Which of the King George VI’s brothers died in 1942?,"Prince George, Duke of Kent."
"If New York City is the 'Big Apple', which US city is the 'Big Pineapple'?","Honolulu, Hawaii."
Which American resort is nicknamed 'Sin City'?,Las Vegas.
Which cryptic heptarchy owned a Cocker Spaniel called Scamper?,"None, it's a fictional or unknown reference."
Which torture chamber was invented by George Orwell?,"Room 101, from his novel ""1984""."
Which 1949 film was set on the Scottish island of Todday?,Whisky Galore.
Which film is set on the remote Hebridean island of Summerisle?,The Wicker Man.
Cagliari is the capital of which island?,Sardinia.
When first discovered what name was given to Tasmania?,Island of Anthoonij van Diemens Landt.
Which early aviator flew in a plane christened Jason?,"Hubert Latham flew in the Antoinette IV, 'Jason'."
Red Grant was a villain in which James Bond movie?,From Russia with Love.
Whose head was stuck on the roof of parliament after his body had been exhumed?,Oliver Cromwell's.
"Celandine, topaz and gamboge are shades of which colour?",Yellow.
The Conservation of Energy is the first ……..what?,Law of Thermodynamics.
What are the French speaking citizens of Belgium called?,Walloon people or Wallons.
Used frequently in laboratories what is the common name of Drosophila?,Fruit fly.
Which 2013 film is a development of the 1964 film ‘Mary Poppins’?,Saving Mr. Banks.
Who narrates the spoken verses on Blur’s top 10 hit ‘Parklife’?,"Phil Daniels, English actor."
"One question, three answers. Which three cyclists have won this award? (In any order.)","Eddy Merckx, Bernard Hinault, Jacques Anquetil."
"In the year 1800, who was King of Great Britain and King of Ireland?",King George III.
"In the lyrics of ‘Hello, Hello, Who’s Your Lady Friend?’, Margate is mentioned in the verse.","Eastbourne is actually mentioned, not Margate."
What term is used for a society of female students in an American college?,Sorority.
Who wrote the 1790’s work “Travels in the Interior of Africa”?,Mungo Park.
In which African country is the popular resort of Monastir?,Tunisia.
What was the name of the skunk in Bambi?,"Flower's friend, a skunk, named Flower."
Which infamous character became Pope Alexander VI?,Rodrigo Borgia.
Who created the ‘A’ Line in 1955?,Christian Dior created the 'A' Line in 1955.
"Which drink is advertised as ‘charcoal mellowed, drop by drop’?",Jack Daniel's whiskey.
The Sun Woman provides the first light of dawn in which people’s mythology?,In Inuit mythology.
Which commission was set up to investigate the assassination of JFK?,Warren Commission.
Who painted Luncheon of the Boating Party?,Pierre-Auguste Renoir.
Which London residential suburb is the site of Lord’s Cricket Ground?,St John's Wood.
Whose is the first tale in Chaucer’s Canterbury Tales?,The Knight's Tale is the first.
Which element is integral to all organic compounds?,Carbon.
Whose 1960 recording “The Twist” spawned a craze for the dance of that name?,Chubby Checker.
Whose “left hand” rule can predict the direction of motion of an electric motor?,Fleming's left-hand rule.
Which confectionary manufacturer markets Galaxy milk chocolate?,Mars Incorporated.
The chance of which hazardous natural event occurring is expressed on the Torino scale?,Asteroid impact.
What is the name of the O’Haras’ plantation in ‘Gone with the Wind’?,Tara.
The cover of which of Pink Floyd’s LP covers features Battersea Power Station?,Animals album cover.
Where has Baroness Royall of Blaisdon led the opposition since May 2010?,House of Lords.
"Last month, what word was named by Oxford Dictionaries as the word of the year?",Goblin mode was named word of the year.
What is the name for the playing area in American football?,The gridiron or football field.
"In the Billy Bunter stories, what is the surname of Bunter’s form teacher?",Quelch.
"In Britain, a Christmas tree is traditionally of what species? (Two words.)",Norway Spruce.
What coin of the realm ceased to be legal tender in Britain at the end of 1960?,The farthing coin.
Which physical phenomenon is properly called 'Horripilation'?,Getting goosebumps.
Which ruler sold the Louisiana Territories to the USA in 1803?,Napoleon Bonaparte.
What would a polyandric woman have more than one of?,Husband.
Clyde Tombaugh discovered which celestial object in our solar system in 1930?,Pluto.
"""What did MP Gerald Kaufman describe in 1983 as """"the longest suicide note in history"""" ?""",The 1983 Labour Party manifesto.
"At the Oscar ceremony in 2004, Sofia Coppola was up for 'Best Director' for which film?",Lost in Translation.
In which ‘business’ did John Davidson Rockefeller make his fortune?,Oil industry.
Which country overtook the USA as the world's biggest emitter of CO2?,China.
Which 80 year old Irishman read the eulogy at Bernard Manning's funeral in June?,"Roy Hattersley, not Irish, or Jimmy Tarbuck."
"""Which composer's operas are famously staged in the town of Bayreuth (say """"Bye-royt"""")?""",Richard Wagner.
"Born in 1861, which famous opera singer's real name was Helen Mitchell?",Nellie Melba.
Which Italian city is known as the pizza capital of the world?,Naples.
"In a 1763 swap, what expanse of land did Britain gain from Spain in exchange for Havana?",Florida.
Which is the only Semitic language that is an official language of the EU?,Maltese.
In which 1955 film does Boccherini’s String Quartet in E play a significant part?,Rear Window.
Which canal separates the Peloponnese peninsula from the Greek mainland?,The Corinth Canal.
What is the official march of the Royal Navy?,"""Rule, Britannia!""."
What are the major suits in the card game Bridge?,"Spades, Hearts, Diamonds, Clubs."
Which Parliamentary Act was abbreviated to DORA?,Defence of the Realm Act.
"Born Natalia Zacharenko, under what name did she find fame?",Natalie Wood.
What sort of creature is a Pacific Sea Wasp?,"Box jellyfish, extremely venomous marine creature."
Who were the backing group of Junior Walker?,The All Stars.
Who had a hit in 1966 with When a Man Loves a Woman?,Percy Sledge.
From what illness did Mary II die in 1694?,Smallpox.
"Specifically, What is the only mammal that could be described as parasitic?","Lamprey is not a mammal, it's a fish. Vampire bat."
In which disaster film do the heroes take off to the song Leaving on a Jet Plane?,Armageddon.
Nick Begs was lead singer with which 80’s pop band?,"Kajagoogoo, also known as Nick Beggs' band."
After what is Fleet Street in London named?,Fleet River or Sir John Fleet.
Which whale (not James) is most commonly known as the Singing Whale?,Humpback.
"Just north of Bolton, on which English motorway will you find Rivington Services?",M61.
Of which Saxon kingdom was Offa a King?,Mercia.
"The crux of which novel is enabling 2,000 Allied soldiers to evacuate the island of Kheros?",Guns of Navarone.
In past times a rabbit was what we’d call a baby bunny. What were adult bunnies called?,Conies.
Carried out by a military man it’s called Seppuku. What other name is it known by?,Harakiri.
The love story of which writer is portrayed in the film Shadowlands?,C.S. Lewis.
What colour is pistachio flavoured ice cream?,Light green or pale green colour.
Who co-founded CND with Canon Collins?,Bertrand Russell and others co-founded with Canon Collins.
Which plant is known as the butterfly bush?,Buddleja.
In the British Raj what was the job of a ‘punkah wallah’?,"Operated punkah, a manual overhead fan."
Which title characters adventures took place on the Isle of Sodor?,Thomas the Tank Engine.
Proteus and Nereid are among the moons of which planet?,Neptune.
In 1840 the world’s first postage stamps printed were the Penny Black and which other?,The Two Penny Blue.
The 1363 Statute of Apparel forbade people from what?,Wearing certain clothes based on social status.
Which football team are nicknamed the Blaugrana?,Barcelona.
Which element is the main polluting substance in acid rain?,Sulfur dioxide.
Which city is the destination of the yacht race which leaves Sydney every Boxing Day?,Hobart.
What is the common name for the fruit of the blackthorn?,Sloe.
"Between 1838 and 1839, against which country did France fight the so-called Pastry War?",Mexico.
Which Isle of Man school’s famously fiendish annual quiz is published in the Guardian?,Ballakermeen High School's General Knowledge quiz.
Mordant is the general term for a chemical which allows what to work properly?,Dyes to bind to fabric.
Which town’s Crab Fair features a world-famous face-pulling or “gurning” contest?,"Egremont, Cumbria."
